Unit ID,Tag
1000185,SouthCare Heli
1050500,SouthCare Road
2310003,Inspector 11
2310005,Car 126
2310007,Car 977
2310008,Car 137
2310009,Car 139 - Bateau Bay
2310010,Car 138 - Bateau Bay
2310014,Car 875
2310016,Car 877
2310018,Car 371
2310089,Car 384 Tanilba
2310090,Car 870
2310092,Car 871
2310096,Car 381
2310099,Car 872
2310100,Car 873
2310101,Car 874
2310314,Stroud Station
2310342,Aeromed 92
2310382,Aero Medical Control
2310428,Gosford ED
2310466,Springwood Station
2310510,Careflight 3
2310542,Hospital - Royal Prince Alfred
2310555,Hawksburry River Station
2310559,Car 256
2310562,Doyalson Station
2310575,Point Clare Station
2310584,Wyong Station
2310587,Bateau Bay Station
2310592,Car 223
2310597,Ettalong Station
2310637,Inspector 54
2310646,Belrose Station
2310652,Balgowlah Station
2310660,SOT 37
2310663,Car 18
2310718,Hospital - Liverpool
2310747,Mona Vale Station
2310751,Hospital - Campbelltown
2310752,Car 443
2310784,Hospital - HRM - Gosford Hospital
2310800,Wahroonga Station
2310810,Richmond Station
2310883,Hospital - Prince of Wales
2311169,Sydney - North Ops
2311333,Bankstown Base
2311356,Aero Medical Control
2311379,Aero Medical Control
2311384,Aero Medical Control(SCC)
2311527,Southern - Illawarra Ops
2311569,Car 13
2311590,Hospital - Campbelltown
2311594,Car 2
2311600,Car 7
2311604,Hospital - Bankstown
2311606,Hospital - St Vincents
2311619,Hospital - Blue Mountains
2311625,Ambulance 231
2311642,Hospital - Westmead
2311674,Careflight 4
2311687,St Ives Station
2311722,Aeromed 83
2311751,SOT 39
2311826,Careflight 2
2311836,NETS Ops
2311921,Ryde Station
2311922,Hospital - St George
2311925,Hospital - Westmead Childrens
2311932,Hospital - Royal North Shore
2311948,RNS Hospital HRM
2311980,Hospital - Westmead
2311988,Car 15
2311993,Ambulance 293
2311994,Ambulance 293
2311995,Ambulance 231
2312014,Inspector 11
2312800,Radio Workshop
2312913,Hospital - Nepean
2312930,Car 16
2312974,PT - The Hub
2313002,Supervisor 131
2313020,Inspector 99
2313033,Cardiff Station
2313156,Toll Rescue 209 - Bankstown
2313157,Toll Rescue 204 - Bankstown
2313158,Toll Rescue 203 - Bankstown
2313159,Toll Rescue 201 - Wollongong
2313160,Toll Rescue 202
2313162,Toll Rescue 206 - Bankstown
2313163,Westpac 1 - Lismore
2313164,Westpac 2 - Lismore
2313165,Westpac 3 - Tamworth
2313166,Westpac 4 - Belmont
2313179,Car 907
2313435,Car 311
2313436,Car 636
2313441,Car 919
2313442,Car 989
2313445,Car 810
2313446,Car 808 - Belmont
2313448,Car 811
2313450,Car 813
2313451,Car 915
2313454,Car 909
2313456,Car 907 - Lithgow
2313461,Car 996
2313463,Car 998
2313464,Car 997
2313465,Car 995 - Ettalong
2314011,CFR 11
2314030,Car 5209
2314038,Careflight 3
2314043,Bankstown Station
2314056,Bathurst Station
2314057,Liverpool Station
2314062,Blacktown Station
2314063,Toll Rescue 207 - Canberra
2314064,Toll Rescue 208 - Bankstown
2314066,Cowra Car 626
2314067,North Mead Station
2315000,Car 899
2315001,Car 992 - Bateau Bay
2315002,Car 234
2315004,SOT 29
2315005,Car 230
2315007,ECP 61
2315008,Car 204
2315010,ECP 60
2315011,SOT 41
2315014,SOT 34
2315015,SOT 30
2315017,Inspector 52
2315019,Car 231 - Wyong
2315022,Car 666 - Lithgow
2315024,Car 350
2315034,Car 403
2315037,Car 5265
2315040,Car 226
2315043,Car 895
2315044,Inspector 71
2315047,Car 207
2315050,Car 5230
2315052,Inspector 92
2315054,Car 5243
2315055,Inspector 77
2315057,Car 5268
2315058,Car 5253
2315059,Inspector 55
2315063,Car 146
2315067,Car 5259
2315069,Car 172
2315070,Supervisor 22
2315072,Inspector 63
2315075,Car 353
2315077,Car 349
2315078,Car 5244
2315079,Car 5220
2315084,Car 205 - Point Claire
2315089,Inspector 76
2315094,Inspector 46
2315097,Car 369
2315099,Car 839
2315101,SOT 42
2315102,Car 977
2315103,SOP 36
2315104,ECP 37
2315106,Car 202
2315110,Car 419
2315112,ECP 63
2315113,ECP 23
2315114,SOT 31
2315115,Car 5274
2315118,Car 143 - Dapto
2315126,Car 903
2315128,Car 284
2315136,ECP 45
2315140,ECP 46
2315142,Car 802
2315145,Car 200
2315149,Inspector 65
2315152,Supervisor 80
