Unit ID,Tag
2000001,Sydney Comms
2000002,Sydney Comms
2000003,Sydney Comms
2000004,Sydney Comms
2000005,Sydney Comms
2000006,Sydney Comms
2000007,Sydney Comms
2000008,Sydney Comms
2000009,Sydney Comms
2000010,Sydney Comms
2000011,Sydney Comms
2000012,Sydney Comms
2000013,Sydney Comms
2000014,Sydney Comms
2000101,Newcastle Comms
2000102,Newcastle Comms
2000103,Newcastle Comms
2000104,Newcastle Comms
2000105,Newcastle Comms
2000106,Newcastle Comms
2000107,Newcastle Comms
2000108,Newcastle Comms
2000109,Newcastle Comms
2000110,Newcastle Comms
2000111,Newcastle Comms
2000112,Newcastle Comms
2000116,Newcastle Comms
2000117,Newcastle Comms
2000692,Rescue Tanker 345 - Kempsey
2000750,Pumper 82 - Richmond
2000774,Pumper 432 - Raymond Terrace
2004999,Aerial Pumper 097 - Huntingwood
2005229,Pumper 052 - Campsie
2005262,Aerial Pumper 462 - Mayfield West
2005274,CAFS Pumper 251 - Cardiff
2005283,Tanker 255 - Charlestown
2005297,Pumper 362 Alpha - Lismore
2005298,Rescue Pumper 357 - Lambton
2005299,Rescue Pumper 357 - Lambton
2005301,Pumper 345 Alpha - West Kempsey
2005309,Pumper 376 - Merewether
2005324,Rescue Pumper 383 - Morisset
2005329,LSV 357 - Lambton
2005341,Pumper 447 - Swansea
2005344,Pumper 454 - Tarro
2005350,Pumper 454 - Tarro
2005370,Pumper 484 - Wallsend
2005373,Pumper 484 - Wallsend
2005374,Pumper 484 - Wallsend
2005383,Pumper 485 - Wangi Wangi
2005386,Pumper 306 - Grafton
2005619,DC - Central Coast
2005639,Pumper 292 - Doyalson
2005640,Pumper 292 - Doyalson
2005651,Aerial Pumper 340 - Umina
2005654,Aerial Pumper 340 - Umina
2005657,Rescue Pumper 358 - Laurieton
2005668,Aerial Pumper 351 - Bateau Bay
2005672,Pumper 353 - Kincumber
2005690,Pumper 459 - Terrigal
2005713,Pumper 505 - Wyong
2005728,DC - Newcastle 1
2005798,Tanker 402 - Salamander Bay
2005829,Pumper 220 - Bellbird
2005839,Rescue Pumper 237 - Branxton
2005842,Pumper 254 Alpha - Cessnock
2005843,Pumper 254 Alpha - Cessnock
2005856,Pumper 373 - East Maitland
2005860,Pumper 347 - Kingscliff
2005866,Pumper 349 - Kurri Kurri
2005887,Pumper 382 - Morpeth
2006059,Tanker 453 - Taree
2006162,Rescue Tanker 295 - Forster
2006238,Pumper 255 - Charlestown
2006241,Rescue Pumper 383 - Morisset
2006243,Pumper 454 - Tarro
2006244,Pumper 454 - Tarro
2006271,Pumper 213 - Bangalow
2006272,Pumper 450 - Saratoga
2006280,DC - Newcastle 1
2006296,Pumper 254 Alpha - Cessnock
2006301,Rescue Pumper 235 - Bowraville
2006314,Pumper 295 - Forster
2006316,Rescue Tanker 295 - Forster
2006343,Pumper 345 Alpha - West Kempsey
2006361,Pumper 347 - Kingscliff
2006398,Rescue Pumper 449 - South West Rocks
2006439,Pumper 502 - Wingham
2006495,DC - Newcastle 1
2006643,Pumper 264 - Coonabarabran
2006972,Pumper 340 - Umina
2006984,Pumper 208 - Aberdeen
2007027,Rescue Pumper 283 - Denman
2007040,Pumper 342 - Kandos
2007064,Rescue Pumper 392 - Muswellbrook
2007073,Pumper 393 - Merriwa
2007288,Aerial Pumper 244 - Brewarrina
2007301,Pumper 256 - Cobar
2007365,Rescue Pumper 367 - Lightning Ridge
2007406,Pumper 465 - Trangie
2007542,Pumper 440 - Shoalhaven
2007553,STP 063 - Blacktown
2007555,LP 260 - Lambton
2007559,Pumper 227 - Blayney
2007563,Pumper 053 - Neutral Bay
2007567,Pumper 011 - Woollahra
2007571,Rescue Pumper 217 - Batemans Bay
2007573,Pumper 460 - The Entrance
2007574,Pumper 226 - Blackheath
2007575,Rescue Pumper 283 - Denman
2007580,Rescue Pumper 020 - Hurstville
2007584,Tanker 464 - Toronto
2007589,Pumper 423 - Portland
2007595,LSV 097 - Huntingwood
2007603,Pumper 224 - Berry
2007608,Tanker 245 - Budgewoi
2007609,Pumper 448 Bravo - South Tamworth
2007619,Rescue Pumper 464 - Toronto
2007620,Pumper 505 - Wyong
2007622,Rescue Pumper 383 - Morisset
