Unit ID,Tag
2000115,NEWRAD15
2000118,NEWRAD18
2010046,Gwandalan Pumper
2010051,Fire Comms - Hornsby
2010065,Paterson Cat 1
2010077,Kenthurst Station
2010089,Engineering 1 Delta
2010096,HeliTac 730
2010097,HeliTac 739
2010155,FireBird 272
2010167,Firebird 200
2010171,Warnervale Cat 1
2010182,Firebird 234
2010247,Spotter 268
2010354,Support Alpha
2010909,Beacon Hill Cat 1
2010915,Northern Beaches Flyer
2010939,Terry Hills Station
2010941,Northern Beaches Flyer
2010967,Muogamarra Station
2010970,Berowra Station
2010974,Mount Kuring-gai Station
2010975,Dangar Station
2010979,Brooklyn Station
2010995,Mount Kuring-gai PC
2010996,Mount Kuring-gai PC
2010998,Mount Kuring-gai Cat 1 Alpha
2011002,Firecomms - The Hills
2011015,Salt Ash Cat 1
2011021,Firecomms - The Hills
2011046,Rouse Hill Station
2011077,Maroota South PC
2011081,Kellyville Station
2011082,Glenhaven Station
2011084,Vacy Cat 1 Bravo
2011098,Wisemans Ferry Station
2011120,Firespotter 265
2011129,Calderwood Station
2011131,Martinsville Cat 9
2011194,Firebird 208
2011275,Scotland Island Station
2011280,Elvina Station
2011295,Davidson Station
2011300,Ingleside Station
2011326,Arcadia Station
2011327,Arcadia Cat 1 Bravo
2011344,Westleigh Station
2011353,Hornsby Station
2011368,Fire Comms
2011380,Fire Comms
2011475,Fire Comms - Hornsby
2011477,Berowra Tower
2011514,Bomber 222
2011584,Gosford Bulk Water Station
2011599,Gosford Bulk Water Cat 13 Delta
2011611,Copacabana Cat 11
2011642,Central Coast Duty
2011662,Central Coast Duty
2011668,Central Coast Group 9
2011683,CUDGEGONG COMMAND INDIA
2011687,Cudgegong Group 4
2011689,Cudgegong SCO 2
2011693,Lawson Cat 1
2011694,Cudgegong FCO 2
2011697,Mudgee Pumper
2011701,Cooks Gap Cat 1
2011704,Piambong Cat 9
2011711,Cooks Gap Cat 9 Alpha
2011712,Mudgee Cat 6
2011713,Cudgegong FCO 1
