Unit ID,Tag
2044011,Armidale 12
2044024,Flood Desk
2044055,Wingham 1
2044063,Hawkesbury 15
2044106,Parkes 45
2044122,Newcastle 35
2044183,Queanbeyan 2
2044262,Goulburn 46
2044278,Goulburn 36
2044318,Fairfield 56
2044332,Sydney 37
2044362,Newcastle 31
2044376,Cooranbong 56
2044380,Goulburn 36
2044419,Ryde 57
2044426,Mclean 45
2044479,Mclean 31
2044560,Gosford HQ
2044570,Nambucca 32
2044583,Shire 19
2044600,Newcastle 33
2044633,Goulburn 56
2044642,Hornsby 1
2044649,Parramatta 18
2044651,Balranald
2044688,Sutton 31
2044696,Nambucca 32
2044720,Shire 12
2044845,Wingham 1
2044847,Wingecarribee 928
2044895,Kempsey 56
2044915,Wingham Police
2044951,Wingecarribee 46
2045000,Port Stephens 12
2045014,Kiama 12
2045024,Kiama HQ
2045027,Port Stephens 47
2045047,Hawkesbury 964
2045052,Lismore Private
2045064,Port Stephens 36
2045101,Hawkesbury 49
2045102,Camden 56
2045120,Lismore Private
2045145,Wingecarribee 48
2045190,Coonamble 31
2045222,Stroud 31
2045246,Strathfield
2045254,Wingecarribee 917
2045302,Port Stephens 56
2045345,Nambucca 34
2045387,Muswellbrook 32
2045395,Wingecarribee 929
2045417,Hawkesbury 15
2045423,Kogarah 56
2045482,Strathfield
2045489,Ferry Command
2045497,Wingecarribee 46
2045545,Eden 1
2045564,Sutherland 93
2045640,Shellharbour 19
2045658,Norah Head 20
2045844,OSU 59 Echo
2054011,Wingham 56
2054041,Nabiac 56
2054079,Wingham 1
2054172,Parkes Base
2054201,Canterbury LHQ
2054281,Hawkesbury 15
2054320,Deniliquin 92 P
2054333,Gosford 58
2054339,Newcastle 56
2054368,Newcastle 31
2054381,Hawkesbury
2054404,Batemans Bay 56
2054417,Mclean 31
2054548,Moruya 46
2054561,Hornsby 17
2054590,Gosford 56
2054601,Maitland HQ
2054628,Floodboat 428
2054631,Murwillumbah 15
2054642,Fairfield LHQ
2054659,Taree 57
2054660,Gosford 39
2054696,Taree 741
2054712,Port Macquarie 43
2054714,Nambucca HQ
2054728,Warren 26
2054734,Heathcote 33
2054788,Armidale 3
2054821,Armidale 12
2054825,Newcastle 36
2054866,Goulburn 57
2054874,Kiama 48
2054883,Goulburn 32
2054884,Port Stephens 42
2054904,Port Stephens Duty
2054947,Port Stephens
2054956,Goulburn 54
2054976,Port Stephens 911
2055018,Parramatta 56
2055034,Wingecarribee 2
2055046,Hawkesbury 49
2055081,Hawkesbury 953
2055136,Highlands 1
2055146,Nowra 35
2055176,Goulburn ICC
2055232,Wingecarribee 1
2055282,Hawkesbury 44
2055293,Port Macquarie 43
2055305,Hawkesbury 956
2055323,Sydney 44
2055337,Nambucca 32
2055360,Wauchope 56 Alpha
2055377,Hawkesbury 12
2055381,Highlands 1
2055384,Wingham 56
2055395,Hawkesbury 49
2055428,Hurstville 44
2055455,Hawkesbury 957
2055490,Hawkesbury 14
2055509,Wingecarribee 935
2055511,Wingecarribee 1
2055512,Hawkesbury 16
2061101,Lake Macquarie 19
2061130,Wyong HQ
2061136,Port Stephens HQ
2061161,Gosford LHQ
2061167,Captains Flat LHQ
2061180,Glenn Innes 31
2061192,Wauchope HQ
2061196,Port Stephens Base
2061233,Auburn LHQ
2061246,Randwick HQ
2061252,Nambucca HQ
2061255,Wingham HQ
2061256,Taree
2061536,Goulburn LHQ
2061702,Marrickville HQ
2064018,Wollongong City 55
2064025,Bungendore 31
2064033,Camden Haven 32
2064043,Kiama 45
2064061,Kiama 48
2064063,Casino 56
2064069,Mount Druitt 39
2064070,Cooma 44
2064072,Tweed Head 56
2064076,Boggabri 42
2064085,Snowy River 19
2064088,CV 1
2064093,Parkes 45
2064097,Campbelltown 31
2064100,Wellington 45
2064101,Port Macquarie 43
2064104,Maitland 56
2064105,Coonamble 56
2064114,Glenfell 56
2064115,Metro 81
2064117,Lismore 31
2064119,Lake Macquarie 57
2064129,Sutherland 57
2064134,Kiama 45
2064137,Newcastle 57
2064140,Grafton 31
2064143,Coonamble 31
2064159,Parkes 56
2064172,NHZ 55 Alpha
2064175,Camden Haven 57
2064185,Coffs Harbour 56
2064206,Sapphire Coast 19
2064216,Ryde 56
2064221,Deepwater 56
2064235,Campbelltown 55
2064236,Coffs Harbour 45
2064247,Canterbury 35
2064260,Communications 2
2064268,Urunga 56
2064285,Port Stephens 46
2064287,Hills 56
2064289,Yamba 34
2064290,Gosford 38
2064293,Moruya 49
2064297,Wyong 34
2064302,Moree 34
2064309,Wyong 19
2064311,Wingecarribee 46
2064314,Wyong 35
2064318,Gosford 56
2064319,Gosford Floodboat 28
2064329,Wollongong 56
2064337,Hawkesbury 44
2064355,Wolli 41
2064366,Armidale 12
2064368,Ballina 43
2064373,Broadwater 31
2064388,Mclean 31
2064424,Tomaree 32
2064428,Port Stephens 42
2064437,Nowra 57
2064439,Urunga 45
2064440,Port Stephens 31
2064443,Kiama 33
2064469,Newcastle 35
2064473,Newcastle 33
2064489,Canterbury 56
2064490,Gosford 57
2064497,Lake Macquarie 1
2064505,Portland 51
2064506,Bathurst 31
2064507,Goulburn 46
2064510,Lake Macquarie 35
2064519,Maclean 45
2064535,Wingecarribee 58
2064536,Murwillumbah 57
2064538,Nambucca 32
2064541,Murwillumbah 55
2064542,Murwillumbah 56
2064543,Mullumbimby 31
2064544,Sutton 31
2064546,Lake Macquarie 56
2064549,BSAR 56
2064550,Bsar 57
2064554,OSU 59
2064559,Woodburn 44
2064579,Metro Zone 13
2064586,Dungong 31
2064587,Shellharbour 56
2064595,Menai 35
2064609,Gloucester
2064625,Heathcote 36
2064626,Taree 31
2064630,Shoalhaven 19
2064646,Wingham 56
2064656,Glenn Innes 31
2064664,Maitland 19
2064668,Yass 34
2064674,Gosford 58
2064690,Murwillumbah 32
2064692,Deep Water 41
2064698,Dungong 56
2064716,Maitland 42
2064722,Wollondilly 35
