"TGID","Alias","Description"
"10101","101 ME1","Metro East 1 - Sydney East"
"10102","102 ME2","Metro East 2 - Sydney North"
"10103","103 ME3","Metro East 3 - Sydney Mid-West"
"10104","110 MW1","Metro West 1 - Cumberland"
"10105","111 MW2","Metro West 2 - Parramatta"
"10106","105 MS2","Metro South 2 - Georges River"
"10107","106 MS3","Metro South 3 - Sydney South West"
"10108","-","Wave Patch/Link - Metro East"
"10109","-","Wave Patch/Link - Metro West/Metro South"
"10111","532 SYDNEY AP","Incident - Sydney Airport"
"10112","107 MN1","Metro North 1 - Hunter Coast"
"10113","-","Wave Patch/Link - Metro North/Region North"
"10114","108 MN2","Metro North 2 - Central Coast"
"10115","109 MN3","Metro North 3 - Lower Hunter"
"10116","201 RN1","Regional North 1 - Mid-North Coast"
"10117","202 RN2","Regional North 2 - Northern Rivers"
"10118","203 RN3","Regional North 3 - Peel"
"10120","104 MS1","Metro South 1 - Illawarra"
"10123","302 RS2","Regional South 2 - Southern Highlands"
"10125","301 RS1","Regional South 1 - Monaro"
"10126","304 ACT-NSW","ACT-NSW Liaison"
"10128","303 RS3","Regional South 3 - Murray"
"10129","402 RW2","Regional West 2 - Upper Hunter/Central West"
"10130","112 MW3","Metro West 3 - Blue Mountains/Hawkesbury"
"10131","-","Wave Patch/Link - Region South"
"10132","401 RW1","Regional West 1 - Western Slopes"
"10133","403 RW3","Regional West 3 - Riverina"
"10134","517 PSN TAC 1","Incident Tactical 1"
"10135","518 PSN STG 1","Incident Staging 1"
"10136","519 PSN RHB 1","Incident Rehabilitation 1"
"10137","520 PSN TAC 2","Incident Tactical 2"
"10138","521 PSN STG 2","Incident Staging 2"
"10139","522 PSN RHB 2","Incident Rehabilitation 2"
"10140","523 PSN TAC 3","Incident Tactical 3"
"10141","524 PSN STG 3","Incident Staging 3"
"10142","525 PSN RHB 3","Incident Rehabilitation 3"
"10143","526 PSN TAC 4","Incident Tactical 4"
"10144","527 PSN STG 4","Incident Staging 4"
"10145","528 PSN RHB 4","Incident Rehabilitation 4"
"10146","529 PSN TAC 5","Incident Tactical 5"
"10147","530 PSN STG 5","Incident Staging 5"
"10148","531 PSN RHB 5","Incident Rehabilitation 5"
"10149","-","(No longer in use)"
"10150","-","(No longer in use)"
"10151","-","(No longer in use)"
"10152","510 PSN TASK 5","Incident Ground PSN 5"
"10153","509 PSN TASK 4","Incident Ground PSN 4"
"10154","1501 COMMS","Communications"
"10155","1502 PROPERTY","Property"
"10156","1503 FLEET","Fleet"
"10157","-","(No longer in use)"
"10158","1504 MECHAN","Mechanics"
"10159","-","(No longer in use)"
"10160","1505 OPS COMMS","Operations Communications"
"10161","1506 HAZMAT","Hazmat"
"10162","1507 BUSHFIRE","Bushfire"
"10163","-","(No longer in use)"
"10164","1510 NDH","Natural Disaster Humanitarian"
"10165","1509 TRAINING","Training"
"10166","-","(No longer in use)"
"10197","506 PSN TASK 1","Incident Ground PSN 1"
"10198","507 PSN TASK 2","Incident Ground PSN 2"
"10199","508 PSN TASK 3","Incident Ground PSN 3"
"20101","801 ALPHA STK","Strike Team Alpha"
"20102","802 BRAVO STK","Strike Team Bravo"
"20103","803 CHRLIE STK","Strike Team Charlie"
"20104","804 DELTA STK","Strike Team Delta"
"20105","805 ECHO STK","Strike Team Echo"
"20106","806 FOXTRT STK","Strike Team Foxtrot"
"20107","807 GOLF STK","Strike Team Golf"
"20108","808 HOTEL STK","Strike Team Hotel"
"20109","809 INDIA STK","Strike Team India"
"20110","810 JULIET STK","Strike Team Juliet"
"20111","811 KILO STK","Strike Team Kilo"
"20112","812 LIMA STK","Strike Team Lima"
"20113","813 MIKE STK","Strike Team Mike"
"20114","814 NOVMBR STK","Strike Team November"
"20115","815 OSCAR STK","Strike Team Oscar"
"20116","816 PAPA STK","Strike Team Papa"
"20117","817 QUEBEC STK","Strike Team Quebec"
"20118","818 ROMEO STK","Strike Team Romeo"
"20119","819 SIERRA STK","Strike Team Sierra"
"20120","820 TANGO STK","Strike Team Tango"
"20121","821 UNIFRM STK","Strike Team Uniform"
"20122","822 VICTOR STK","Strike Team Victor"
"20123","823 WHISKY STK","Strike Team Whiskey"
"20124","824 X RAY STK","Strike Team X-Ray"
"20125","825 YANKEE STK","Strike Team Yankee"
"20126","826 ZULU STK","Strike Team Zulu"
"20127","827 TASKFORCE1","Taskforce 1"
"20128","828 TASKFORCE2","Taskforce 2"
"20129","829 TASKFORCE3","Taskforce 3"
"20130","830 TASKFORCE4","Taskforce 4"
"20131","831 TASKFORCE5","Taskforce 5"
"20132","1601 TRAINING1","Training 1"
"20133","1602 TRAINING2","Training 2"
"20134","1603 TRAINING3","Training 3"
"20135","1604 TRAINING4","Training 4"
"20136","1605 TRAINING5","Training 5"
"20137","1606 RECRUIT 1","Training - Recruit 1"
"20138","1607 RECRUIT 2","Training - Recruit 2"
"20139","1608 RECRUIT 3","Training - Recruit 3"
"20140","1609 RECRUIT 4","Training - Recruit 4"
"20141","1610 RECRUIT 5","Training - Recruit 5"
"20142","1611 CLM","Training - Command Leadership Management"
"20143","1612 APP TRNG","Training - Appliance"
"20144","1613 RES TRNG","Training - Rescue"
"20145","1614 FFOT","Training - Firefighter Operational"
"20146","1615 BA HAZMAT","Training - BA HAZMAT"
"20147","1616 EX-STRAT","Exercise - Strategic"
"20148","1617 EX-TACT","Exercise - Tactical"
"20149","1618 EX-TASK","Exercise - Tasking"
"20150","1619 EX-STG","Exercise - Staging"
"20151","1620 EX-RHB","Exercise - Rehabilitation"
