"TGID","Alias","Description"
"12526","-","-"
"12527","-","-"
"12528","HCC-SOUTH","Hunter Central Coast - South"
"12529","HCC-CENTRAL","Hunter Central Coast - Central"
"12530","GS-CENTRAL","Greater Sydney - Central"
"12531","TRAINING 1","Training 1"
"12532","-","-"
"12533","-","-"
"12534","-","-"
"12535","NS-SOUTH","Northern Rivers - South"
"12536","-","-"
"12537","MNC-SOUTH","Mid-North Coast South"
"12538","-","-"
"12539","-","-"
"12540","GS-NORTH","Greater Sydney - North"
"12541","GS-SOUTH","Greater Sydney - South"
"12542","ILL-NORTH","Illawarra - North"
"12543","ILL-SOUTH","Illawarra - South"
"12544","MON-NORTH","Monaro - North"
"12545","MON-SOUTH","Monaro - South"
