"TGID","Alias","Description"
"10301","1 STATE","Admin - State Operations / MRU"
"10302","2 TG 2","Admin - Talkgroup 2"
"10303","3 TG 3","Admin - Talkgroup 3"
"10304","4 TG 4","Admin - Talkgroup 4"
"10305","5 TG EDU","Admin - Education Services"
"10306","6 NETS","Admin - NETS (No longer in use - see NETS)"
"10307","7 PUB HLTH","Admin - Public Health Service Liaison"
"10308","8 G/WEST A/H","Admin - Greater West AHS"
"10309","9 HU A/H","Admin - Hunter AHS"
"10310","10 NSCC A/H","Admin - North Sydney/Central Coast AHS"
"10311","11 S/W A/H","Admin - Sydney West AHS"
"10312","12 SSW A/H","Admin - Sydney South West AHS"
"10313","13 SESI A/H","Admin - South Eastern Sydney/Illawarra AHS"
"10314","14 A/H INCDT1","Admin - AHS Incident 1"
"10315","15 A/H INCDT2","Admin - AHS Incident 2"
"10316","16 A/H INCDT3","Admin - AHS Incident 3"
"10317","17 MEDI 1","Admin - Medical 1"
"10318","18 MEDI 2","Admin - Medical 2"
"10319","PTO OPS 1","Patient Transport - Operations 1"
"10320","PTO OPS 2","Patient Transport - Operations 2"
"10321","PTO OPS 3","Patient Transport - Operations 3"
"10322","PTO OPS 4","Patient Transport - Operations 4"
"10323","PTO OPS 5","Patient Transport - Operations 5"
"10324","PTO OPS 6","Patient Transport - Operations 6"
"10325","1 NTH OPS","Sydney - North Operations"
"10326","2 STH OPS","Sydney - South Operations"
"10327","4 EAST OPS","Sydney - East Operations"
"10328","6 WEST OPS","Sydney - West Operations"
"10329","7 S/W OPS","Sydney - South West Operations"
"10330","8 F S/W OPS","Sydney - Far South West Operations"
"10331","9 F WST OPS","Sydney - Far West Operations"
"10332","10 ECP 1","Sydney - Extended Care Paramedic 1"
"10333","11 ECP 2","Sydney - Extended Care Paramedic 2"
"10334","12 INCIDENT 1","Sydney - Incident 1"
"10335","13 INCIDENT 2","Sydney - Incident 2"
"10336","14 INCIDENT 3","Sydney - Incident 3"
"10337","15 INCIDENT 4","Sydney - Incident 4"
"10338","16 INCIDENT 5","Sydney - Incident 5"
"10339","17 INCIDENT 6","Sydney - Incident 6"
"10340","18 U S/W OPS","Sydney - Upper South West Operations (old INCIDENT 7)"
"10341","19 SPORTS","Admin - Sports"
"10342","20 WORKSHOP","Sydney - Workshops"
"10343","21 NTH HOSP","Sydney - Hospital North"
"10344","22 STH HOSP","Sydney - Hospital South"
"10345","23 EST HOSP","Sydney - Hospital East"
"10346","24 WST HOSP","Sydney - Hospital West"
"10347","-","-"
"10348","-","-"
"10349","-","-"
"10350","-","-"
"10351","FAULT REPORT","Fault Report"
"10352","TAC 1","Special - Tactical Operations 1"
"10353","TAC 2","Special - Tactical Operations 2"
"10354","TAC 3","Special - Tactical Operations 3"
"10355","TAC 4","Special - Tactical Operations 4"
"10356","TAC 5","Special - Tactical Operations 5"
"10357","TAC 6","Special - Tactical Operations 6"
"10358","IT SUPPORT","IT/MDT Support"
"10359","-","-"
"10360","-","-"
"10364","-","-"
"10365","-","-"
"20301","NEWC OPS","North - Newcastle Operations"
"20302","OHUN OPS","North - Outer Hunter Operations"
"20303","GOS OPS","North - Gosford Operations"
"20304","ECP 4","North - Extended Care Paramedic 4"
"20305","INCIDENT 1","North - Incident 1"
"20306","INCIDENT 2","North - Mid North Coast Operations (Incident 2)"
"20307","INCIDENT 3","North - North Coast Operations (Incident 3)"
"20308","INCIDENT 4","North - Incident 4"
"20309","MID WEST","West - Mid West Operations"
"20310","MACQ 1","West - Macquarie Operations 1"
"20311","MACQ 2","West - Macquarie Operations 2"
"20312","NEW ENG 1","West - New England Operations 1"
"20313","NEW ENG 2","West - New England Operations 2"
"20314","ECP 5","West - Extended Care Paramedic 5"
"20315","INCIDENT 1","West - Incident 1"
"20316","INCIDENT 2","West - Incident 2"
"20317","INCIDENT 3","West - Incident 3"
"20318","HOSP 1","West - Hospital 1"
"20319","HOSP 2","West - Hospital 2"
"20320","HUN HOSP","North - Hunter Hospitals"
"20326","-","-"
"20329","-","-"
"20330","-","-"
"20331","-","-"
"20332","-","-"
"20333","-","-"
"20334","-","-"
"20335","-","-"
"20336","-","-"
"20337","-","-"
"30301","FSC OPS","South - Far South Coast Operations"
"30302","ILLA OPS","South - Illawarra Operations"
"30304","WAGGA OPS","South - Wagga Operations"
"30305","RIV OPS","South - Riverina Operations"
"30306","MURRAY OPS","South - Murray Operations"
"30307","ECP 3","South - Extended Care Paramedic 3"
"30308","INCIDENT 1","South - Incident 1"
"30309","INCIDENT 2","South - Incident 2"
"30310","INCIDENT 3","South - Incident 3"
"30311","INCIDENT 4","South - Incident 4"
"30312","INCIDENT 5","South - Incident 5"
"30313","INCIDENT 6","South - Incident 6"
"30314","ILLAW HOSP","South - Illawarra Hospitals"
"30315","GOULB HOSP","South - Goulburn Hospitals"
"30316","S/HAVEN OPS","South - Shoalhaven Operations"
"30320","ACT AMB","South - ACT Ambulance Liaison"
"30321","EAST OPS","South - South East Operations"
"30326","-","North - Hunter West Operations"
"30327","-","North - Mid North Coast Operations 1"
"30328","-","North - Mid North Coast Operations 2"
"30329","-","North - Northern Rivers Operations"
"30330","-","-"
"30331","-","-"
"30332","-","-"
"30333","3 CENT OPS","Sydney - Central Operations"
"30334","19 L S/W OPS","Sydney - Lower South West Operations"
"30335","-","-"
"30336","-","-"
"30337","-","Sydney - Event Operations"
"30338","-","Sydney - ?"
"30339","-","-"
"30340","-","-"
"30341","-","-"
"30342","-","-"
"30343","-","-"
"30344","-","-"
"30345","-","-"
"30346","-","-"
"30347","-","-"
"30348","-","-"
"30349","-","North - Incident 6"
"30350","-","-"
"30351","-","-"
"30352","-","-"
"30353","-","-"
"30354","-","-"
"30355","-","-"
"30356","-","-"
"30357","-","-"
"30358","-","-"
"30359","-","-"
"30360","-","-"
"30361","-","-"
"30362","-","-"
"30363","-","-"
"30364","-","-"
"30365","-","-"
"30366","-","-"
"30367","-","North - Central Coast Hospitals"
"30368","-","-"
"30369","-","-"
"30370","-","-"
