"TGID","Alias","Description"
"10030","1209 AVATN 1","Aviation Operations 1"
"10031","1210 AVATN 2","Aviation Operations 2"
"10032","1211 AVATN 3","Aviation Operations 3"
"10033","1212 AVATN 4","Aviation Operations 4"
"10034","1213 AVATN 5","Aviation Operations 5"
"10035","1214 AVATN 6","Aviation Operations 6"
"10036","114 HILLS A","The Hills A"
"10037","101 BLMTN A","Blue Mountains A"
"10038","1218 CISS","Critical Incident Support Services"
"10039","1219 COMED 1","Communication Education 1"
"10040","1220 COMED 2","Communication Education 2"
"10041","1221 COMED 3","Communication Education 3"
"10042","108 CMBLD A","Cumberland A"
"10043","1201 AREA GS","Area Greater Sydney"
"10044","1234 EXECU","Executive Operations"
"10045","1235 FIU 1","Fire Investigation Unit 1"
"10046","1236 FIU 2","Fire Investigation Unit 2"
"10047","105 CENCO A","Central Coast A"
"10048","117 HWKSB A","Hawkesbury A"
"10049","115 HNSBY A","Hornsby A"
"10050","1241 LEARN 1","Learning & Development 1"
"10051","1242 LEARN 2","Learning & Development 2"
"10052","124 MCTHR A","Macarthur A"
"10053","1244 MEDIA 1","Media 1"
"10054","1245 MEDIA 2","Media 2"
"10055","1238 ICT 1","Information & Comms Technology 1"
"10056","1239 ICT 2","Information & Comms Technology 2"
"10057","1240 ICT 3","Information & Comms Technology 3"
"10058","301 OPS 1","Operations 1"
"10059","302 OPS 2","Operations 2"
"10060","303 OPS 3","Operations 3"
"10061","304 OPS 4","Operations 4"
"10062","305 OPS 5","Operations 5"
"10063","306 OPS 6","Operations 6"
"10064","307 OPS 7","Operations 7"
"10065","308 OPS 8","Operations 8"
"10066","309 OPS 9","Operations 9"
"10067","310 OPS 10","Operations 10"
"10068","311 OPS 11","Operations 11"
"10069","312 OPS 12","Operations 12"
"10070","313 OPS 13","Operations 13"
"10071","314 OPS 14","Operations 14"
"10072","315 OPS 15","Operations 15"
"10073","1202 AREA HU","Area Hunter"
"10074","1253 STATEOP","State Operations"
"10075","143 SUTHE A","Sutherland A"
"10076","131 NBCHS A","Northern Beaches A"
"10077","241 STHHG B","Southern Highlands B"
"10079","1222 DISP 1","Dispatch Operations 1"
"10080","1223 DISP 2","Dispatch Operations 2"
"10081","1224 DISP 3","Dispatch Operations 3"
"10082","1225 DISP 4","Dispatch Operations 4"
"10083","1226 DISP 5","Dispatch Operations 5"
"10084","125 MDCST A","Mid Coast A"
"10092","1247 SMSS 1","State Mitigation & Support 1"
"10093","1248 SMSS 2","State Mitigation & Support 2"
"10094","1232 ENGIN","Engineering"
"10095","1233 ENVIR","Environment Services"
"10096","1215 BIA 1","Building Impact Assessment 1"
"10097","1237 HSW","Health Safety Welfare"
"10098","1243 LOGIS","Logistics"
"10099","1246 ORT","On Road Transport"
"20000","211 FARWST B","Far West B"
"20001","103 CANOB A","Canobolas A"
"20002","110 CSTLR A","Castlereagh A"
"20003","206 CHIFLITH B","Chifley B"
"20004","107 CLVLY A","Clarence Valley A"
"20005","104 CDGNG A","Cudgegong A"
"20006","112 FNC A","Far North Coast A"
"20007","111 FARWST A","Far West A"
"20008","122 LWHUN A","Lower Hunter A"
"20009","116 HUNTV A","Hunter Valley A"
"20010","106 CHIFLITH A","Chifley/Lithgow A"
"20011","121 LVPLR A","Liverpool Range A"
"20012","120 LNC A","Lower North Coast A"
"20013","225 MDCST B","Mid Coast B"
"20014","126 MDLCH A","Mid Lachlan A"
"20015","109 COFFS A","Coffs Coast A"
"20016","130 NAMGW A","Namoi/Gwydir A"
"20017","135 NWENG A","New England A"
"20018","1203 AREA NE","Area North East"
"20019","134 NTHWST A","North West A"
"20020","132 NTHRS A","Northern Rivers A"
"20021","133 NTHTB A","Northern Tablelands A"
"20022","136 ORANA A","Orana A"
"20023","1204 AREA NW","Area North West"
"20024","1207 AREA W","Area West"
"20025","145 TAMWTH A","Tamworth A"
"20026","205 CENCO B","Central Coast B"
"20027","1208 AREA OPS","Area Operations"
"20028","1230 DISP 9","Dispatch Operations 9"
"20029","1231 DISP 10","Dispatch Operations 10"
"20030","-","-"
"20031","-","-"
"20034","1249 SMSS 3","State Mitigation & Support 3"
"20035","1250 SMSS 4","State Mitigation & Support 4"
"20036","1227 DISP 6","Dispatch Operations 6"
"20037","1228 DISP 7","Dispatch Operations 7"
"20038","316 OPS 16","Operations 16"
"20039","317 OPS 17","Operations 17"
"20040","318 OPS 18","Operations 18"
"20041","321 TACT 1","Tactical 1"
"20042","322 TACT 2","Tactical 2"
"20043","323 TACT 3","Tactical 3"
"20044","324 TACT 4","Tactical 4"
"20045","325 TACT 5","Tactical 5"
"20046","326 TACT 6","Tactical 6"
"20047","327 TACT 7","Tactical 7"
"20048","328 TACT 8","Tactical 8"
"20049","329 TACT 9","Tactical 9"
"20050","330 TACT 10","Tactical 10"
"20051","331 TACT 11","Tactical 11"
"20052","332 TACT 12","Tactical 12"
"20053","333 TACT 13","Tactical 13"
"20054","334 TACT 14","Tactical 14"
"20055","335 TACT 15","Tactical 15"
"20056","336 TACT 16","Tactical 16"
"20057","337 TACT 17","Tactical 17"
"20058","338 TACT 18","Tactical 18"
"20059","339 TACT 19","Tactical 19"
"20060","340 TACT 20","Tactical 20"
"20061","341 TACT 21","Tactical 21"
"20062","342 TACT 22","Tactical 22"
"20063","343 TACT 23","Tactical 23"
"20064","344 TACT 24","Tactical 24"
"20065","345 TACT 25","Tactical 25"
"20066","346 TACT 26","Tactical 26"
"20067","347 TACT 27","Tactical 27"
"20068","348 TACT 28","Tactical 28"
"20069","349 TACT 29","Tactical 29"
"20070","350 TACT 30","Tactical 30"
"20071","351 TACT 31","Tactical 31"
"20072","352 TACT 32","Tactical 32"
"20073","353 TACT 33","Tactical 33"
"20074","354 TACT 34","Tactical 34"
"20075","355 TACT 35","Tactical 35"
"20076","356 TACT 36","Tactical 36"
"20077","357 TACT 37","Tactical 37"
"20078","358 TACT 38","Tactical 38"
"20079","359 TACT 39","Tactical 39"
"20080","360 TACT 40","Tactical 40"
"30000","102 BLTEM A","Bland/Temora A"
"30001","113 FSC A","Far South Coast A"
"30002","140 STHBD A","Southern Border A"
"30003","118 ILLAW A","Illawarra A"
"30004","119 LAKGE A","Lake George A"
"30005","123 LWWST A","Lower Western A"
"30006","128 MIA A","Murrumbidgee Irrigation Area A"
"30007","127 MDMRY A","Mid Murray A"
