"TGID","Alias","Description"
"10223","0916 OPS 16","PSN - Operations 16"
"10224","0917 OPS 17","PSN - Operations 17"
"10225","0918 OPS 18","PSN - Operations 18"
"10226","0919 OPS 19","PSN - Operations 19"
"10227","0920 OPS 20","PSN - Operations 20"
"10228","0915 OPS 15","PSN - Operations 15"
"10229","0110 S/O","COMMS2 State - ICT Communications 2"
"10230","0911 OPS 11","PSN - Operations 11"
"10231","0912 OPS 12","PSN - Operations 12"
"10232","0913 OPS 13","PSN - Operations 13"
"10233","0914 OPS 14","PSN - Operations 14"
"10234","0101 S/O RESC","State - Rescue"
"10235","0102 S/O DISP","State - Dispatch"
"10236","0901 OPS 1","PSN - Operations 1"
"10237","0902 OPS 2","PSN - Operations 2"
"10238","0903 OPS 3","PSN - Operations 3"
"10239","0904 OPS 4","PSN - Operations 4"
"10240","0905 OPS 5","PSN - Operations 5"
"10241","0906 OPS 6","PSN - Operations 6"
"10242","0907 OPS 7","PSN - Operations 7"
"10243","0908 OPS 8","PSN - Operations 8"
"10244","0909 OPS 9","PSN - Operations 9"
"10245","0910 OPS 10","PSN - Operations 10"
"10246","0109 S/O COMMS1","State - ICT Communications 1"
"10247","0111 S/O ENC1","(SES Encrypted Channel)"
"10248","0112 S/O ENC2","(SES Encrypted Channel)"
"10249","0401 NEZ RESC","North Eastern Zone - Rescue"
"10250","0402 NEZ DISP","North Eastern Zone - Dispatch"
"10251","0403 NEZ OPS1","North Eastern Zone - Ops 1"
"10252","0404 NEZ OPS2","North Eastern Zone - Ops 2"
"10253","0405 NEZ OPS3","North Eastern Zone - Ops 3"
"10254","0406 NEZ OPS4","North Eastern Zone - Ops 4"
"10255","0407 NEZ OPS5","North Eastern Zone - Ops 5"
"10256","0408 NEZ LOPRI","North Eastern Zone - Low Priority"
"10257","0801 NWZ RESC","North Western Zone - Rescue"
"10258","0802 NWZ DISP","North Western Zone - Dispatch"
"10259","0803 NWZ OPS1","North Western Zone - Ops 1"
"10260","0804 NWZ OPS2","North Western Zone - Ops 2"
"10261","0805 NWZ OPS3","North Western Zone - Ops 3"
"10262","0806 NWZ OPS4","North Western Zone - Ops 4"
