"TGID","Alias","Description"
"10401","-","-"
"10402","-","Transports"
"10403","-","Home Visits/Parole Checks (VG)"
"10404","-","Home Visits/Parole Checks (VK)"
"10405","-","Home Visits/Parole Checks (NC)"
"10406","-","Home Visits/Parole Checks (WG)"
"10407","-","Dillwynia Correctional Centre"
"10408","-","-"
"10409","-","-"
"10410","-","-"
"10411","-","-"
"10412","-","-"
"10413","-","-"
"10414","-","Secure Unit"
"10415","-","-"
"10416","-","-"
"10417","-","Muluwa Correctional Centre"
"10418","-","-"
"10419","-","Medical Escorts - Parklea"
"10420","-","-"
"10421","-","Projects Group - Silverwater"
"10422","-","-"
"10423","-","-"
"10424","-","-"
"10425","-","-"
"10426","-","-"
"10427","-","-"
"10428","-","Home Visits/Parole Checks (VX)"
"10429","-","-"
"10430","-","-"
"20401","-","-"
"20402","-","-"
"20403","-","Kirkconnell Correctional Centre"
"20404","-","-"
"20405","-","-"
"20406","-","St Heliers Correctional Centre"
"20407","-","-"
"20408","-","-"
"20409","-","-"
"20410","-","-"
"30401","-","-"
"30402","-","-"
"30403","-","-"
