"TGID","Alias","Description"
"11581","01 WESTERN","DPI Western Local Land Service"
"11582","02 NTH WST","DPI North West Local Land Service"
"11583","03 N TBLD","DPI Northern Tablelands Local Land Service"
"11584","04 N COAST","DPI North Coast Local Land Service"
"11585","05 CNTL WEST","DPI Central West Local Land Service"
"11586","06 HUNTER","DPI Hunter Local Land Service"
"11587","07 CNTL TBLD","DPI Central Tablelands Local Land Service"
"11588","08 GR SYDNEY","DPI Greater Sydney Local Land Service"
"11589","09 STH EAST","DPI South East Local Land Service"
"11590","10 RIV-MUR","DPI Riverina/Murray Local Land Service"
"11591","11 STATE 1","DPI State Channel 1"
"11592","12 STATE 2","DPI State Channel 2"
"11593","-","-"
"11594","-","-"
"11595","-","-"
"11651","-","Fisheries"
"11652","-","Fisheries"
"11653","-","Fisheries Metro Central"
"11654","-","Fisheries North Coast"
"11655","-","Fisheries Shoalhaven/Illawarra"
"11656","-","Fisheries South Coast"
"11657","-","Fisheries Far North Coast"
"11658","-","Fisheries North West"
"11659","-","Fisheries South West"
"11660","-","Fisheries"
"11661","-","Fisheries"
"11662","-","Fisheries"
"11663","-","Fisheries"
"11664","-","Fisheries"
"11665","-","Fisheries"
"11666","-","Fisheries"
"11667","-","Fisheries"
"11668","-","Fisheries Compliance Unit 1"
"11669","-","Fisheries Compliance Unit 2"
