Reg,Callsign,Country,Make,Model
VH-RMB,BIRDDOG 123,Australia,CESSNA AIRCRAFT COMPANY,525
VH-LMC,BIRDDOG 125,Australia,GULFSTREAM AEROSPACE CORP,695-A
VH-LCL,BIRDDOG 273,Australia,CESSNA AIRCRAFT COMPANY,525
VH-IOK,BIRDDOG 372,Australia,CESSNA AIRCRAFT COMPANY,337G
VH-8TY,BIRDDOG 373,Australia,CESSNA AIRCRAFT COMPANY,208B
VH-8TL,BIRDDOG 375,Australia,CESSNA AIRCRAFT COMPANY,208B
VH-ILM,BIRDDOG 377,Australia,PARTENAVIA COSTRUZIONI AERONAUTICHE SPA,P.68C
VH-IEV,BIRDDOG 380,Australia,CESSNA AIRCRAFT COMPANY,337G
VH-MAV,BIRDDOG 381,Australia,AERO COMMANDER,500-S
VH-UJR,BIRDDOG 384,Australia,AERO COMMANDER,500-S
VH-MGJ,BIRDDOG 393,Australia,PILATUS BRITTEN-NORMAN LTD,BN2B-26
VH-OZH,BIRDDOG 394,Australia,CESSNA AIRCRAFT COMPANY,208B
VH-TLD,BIRDDOG 396,Australia,CESSNA AIRCRAFT COMPANY,208B
VH-PNW,BIRDDOG 416,Australia,PARTENAVIA COSTRUZIONI AERONAUTICHE SPA,P.68C
VH-XAS,BIRDDOG 444,Australia,AERO COMMANDER,500-S
VH-ODU,BIRDDOG 500,Australia,CESSNA AIRCRAFT COMPANY,208B
VH-PWC,BIRDDOG 640,Australia,AMERICAN CHAMPION AIRCRAFT CORP,8GCBC
VH-KTG,BIRDDOG 642,Australia,AMERICAN CHAMPION AIRCRAFT CORP,8GCBC
VH-BPW,BIRDDOG 643,Australia,AMERICAN CHAMPION AIRCRAFT CORP,8GCBC
VH-PWL,BIRDDOG 644,Australia,AMERICAN CHAMPION AIRCRAFT CORP,8GCBC
VH-KYH,BIRDDOG 645,Australia,AMERICAN CHAMPION AIRCRAFT CORP,8GCBC
VH-VPW,BIRDDOG 646,Australia,AMERICAN CHAMPION AIRCRAFT CORP,8GCBC
VH-KUE,BIRDDOG 648,Australia,AMERICAN CHAMPION AIRCRAFT CORP,8GCBC
VH-CSA,BIRDDOG 684,Australia,CESSNA AIRCRAFT COMPANY,R182
VH-MXL,BIRDDOG 686,Australia,CESSNA AIRCRAFT COMPANY,R182
VH-PSY,BIRDDOG 689,Australia,CESSNA AIRCRAFT COMPANY,208B
VH-LWA,BIRDDOG 895,Australia,CESSNA AIRCRAFT COMPANY,208B
VH-EIP,FIRESPOTTER 211,Australia,CESSNA AIRCRAFT COMPANY,182N
VH-BOY,FIRESPOTTER 217,Australia,CESSNA AIRCRAFT COMPANY,172RG
VH-PGN,FIRESPOTTER 222,Australia,PARTENAVIA COSTRUZIONI AERONAUTICHE SPA,P.68 OBSERVER
VH-UPT,FIRESPOTTER 240,Australia,CESSNA AIRCRAFT COMPANY,182S
VH-TAW,FIRESPOTTER 250,Australia,CESSNA AIRCRAFT COMPANY,206H
VH-BXO,FIRESPOTTER 265,Australia,CESSNA AIRCRAFT COMPANY,182T
VH-BMX,FIRESPOTTER 268,Australia,CESSNA AIRCRAFT COMPANY,182T
VH-FLW,FIRESPOTTER 274,Australia,CESSNA AIRCRAFT COMPANY,172N
VH-KON,FIRESPOTTER 279,Australia,CESSNA AIRCRAFT COMPANY,182K
VH-HXI,FIRESPOTTER 290,Australia,CESSNA AIRCRAFT COMPANY,182P
VH-YEF,FIRESPOTTER 385,Australia,CESSNA AIRCRAFT COMPANY,210L
VH-ITY,FIRESPOTTER 386,Australia,CESSNA AIRCRAFT COMPANY,172N
VH-HWV,FIRESPOTTER 388,Australia,CESSNA AIRCRAFT COMPANY,R182
VH-TSX,FIRESPOTTER 395,Australia,CESSNA AIRCRAFT COMPANY,R182
VH-JGU,FIRESPOTTER 397,Australia,CESSNA AIRCRAFT COMPANY,210R
VH-YME,FIRESPOTTER 404,Australia,CESSNA AIRCRAFT COMPANY,185A
VH-CWL,FIRESPOTTER 407,Australia,CESSNA AIRCRAFT COMPANY,210-5
VHJCU,FIRESPOTTER 417,Australia,CESSNA AIRCRAFT COMPANY,182R
VH-LWH,FIRESPOTTER 436,Australia,CESSNA AIRCRAFT COMPANY,210H
VH-IQZ,FIRESPOTTER 466,Australia,CESSNA AIRCRAFT COMPANY,210L
VH-LMG,FIRESPOTTER 506,Australia,CESSNA AIRCRAFT COMPANY,182N
VH-OUH,FIRESPOTTER 555,Australia,TEXTRON AVIATION INC.,208B
VH-UJD,FIRESPOTTER 893,Australia,CESSNA AIRCRAFT COMPANY,206H
VH-FJK,FIRESPOTTER 899,Australia,CESSNA AIRCRAFT COMPANY,206H
VH-TFV,PARKAIR 6,Australia,TEXTRON AVIATION INC.,208B
VH333,VH-TEST3,Australia,CESSNA AIRCRAFT COMPANY,337G
VH126,VH-TEST8,Australia,CESSNA AIRCRAFT COMPANY,337H
