Reg,Callsign,Country,Make,Model
VH-XPB,BOMBER,Australia,AIR TRACTOR INC,AT-802A
VH-OOW,BOMBER 212,Australia,"PZL ""WARSZAWA-OKECIE""",M-18T
VH-AP8,BOMBER 218,Australia,AIR TRACTOR INC,AT-802
VH-FNA,BOMBER 219,Australia,AIR TRACTOR INC,AT-802A
VH-BQH,BOMBER 220,Australia,AIR TRACTOR INC,AT-802A
VH-FBY,BOMBER 221,Australia,AIR TRACTOR INC,AT-802
VH-FEP,BOMBER 222,Australia,AIR TRACTOR INC,AT-802
VH-CVF,BOMBER 223,Australia,AIR TRACTOR INC,AT-802
VH-FHA,BOMBER 225,Australia,AIR TRACTOR INC,AT-602
VH-LIS,BOMBER 227,Australia,AIR TRACTOR INC,AT-802
VH-LII,BOMBER 228,Australia,AIR TRACTOR INC,AT-802A
VH-8LK,BOMBER 229,Australia,AIR TRACTOR INC,AT-802A
VH-NIP,BOMBER 230,Australia,AIR TRACTOR INC,AT-802A
VH-KDS,BOMBER 232,Australia,AIR TRACTOR INC,AT-802A
VH-YDS,BOMBER 233,Australia,AIR TRACTOR INC,AT-802
VH-PCD,BOMBER 241,Australia,AIR TRACTOR INC,AT-802A
VH-WTJ,BOMBER 251,Australia,AIR TRACTOR INC,AT-802
VH-WXF,BOMBER 252,Australia,AIR TRACTOR INC,AT-802
VH-WXH,BOMBER 253,Australia,AIR TRACTOR INC,AT-802
VH-LIC,BOMBER 254,Australia,AIR TRACTOR INC,AT-802
VH-XWH,BOMBER 256,Australia,AIR TRACTOR INC,AT-802
VH-ZED,BOMBER 261,Australia,AIR TRACTOR INC,AT-802A
VH-XAV,BOMBER 266,Australia,AIR TRACTOR INC,AT-802
VH-FFU,BOMBER 273,Australia,AIR TRACTOR INC,AT-802A
VH-EDG,BOMBER 274,Australia,AIR TRACTOR INC,AT-802
VH-XAW,BOMBER 277,Australia,AIR TRACTOR INC,AT-802
VH-XAT,BOMBER 288,Australia,AIR TRACTOR INC,AT-802A
VH-VBV,BOMBER 290,Australia,AIR TRACTOR INC,AT-802
VH-XAY,BOMBER 299,Australia,AIR TRACTOR INC,AT-802
VH-YRY,BOMBER 350,Australia,AIR TRACTOR INC,AT-802
VH-ARA,BOMBER 351,Australia,AIR TRACTOR INC,AT-802
VH-8AM,BOMBER 352,Australia,AIR TRACTOR INC,AT-802
VH-FZX,BOMBER 353,Australia,AIR TRACTOR INC,AT-802A
VH-FZU,BOMBER 354,Australia,AIR TRACTOR INC,AT-802A
VH-8FA,BOMBER 355,Australia,"AIR TRACTOR, INC.",AT-802A
VH-SQS,BOMBER 356,Australia,AIR TRACTOR INC,AT-802
VH-8T8,BOMBER 357,Australia,AIR TRACTOR INC,AT-802A
VH-LIM,BOMBER 358,Australia,AIR TRACTOR INC,AT-802
VH-VWF,BOMBER 359,Australia,"PZL ""WARSZAWA-OKECIE""",M-18T
VH-FBX,BOMBER 360,Australia,AIR TRACTOR INC,AT-802A
VH-FHI,BOMBER 361,Australia,"AIR TRACTOR, INC.",AT-802A
VH-LIH,BOMBER 362,Australia,AIR TRACTOR INC,AT-802
VH-JRN,BOMBER 363,Australia,"PZL ""WARSZAWA-OKECIE""",M-18T
VH-RFM,BOMBER 364,Australia,AIR TRACTOR INC,AT-802A
VH-LIR,BOMBER 401,Australia,AIR TRACTOR INC,AT-802
VH-MDR,BOMBER 402,Australia,"PZL ""WARSZAWA-OKECIE""",M-18B
VH-HWQ,BOMBER 404,Australia,"THRUSH AIRCRAFT, INC.",S2R-T660
VH-NFF,BOMBER 407,Australia,AYRES CORPORATION,S2R-G10
VH-ZIN,BOMBER 409,Australia,AIR TRACTOR INC,AT-802A
