Reg,Callsign,Country,Make,Model
VH-YJB,FIREBIRD 100,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-ONT,FIREBIRD 207,Australia,BELL HELICOPTER CO,206B (III)
VH-JOW,FIREBIRD 210,Australia,BELL HELICOPTER CO,206L-1
VH-IQB,FIREBIRD 212,Australia,EUROCOPTER,AS.350B2
VH-UTG,FIREBIRD 213,Australia,BELL HELICOPTER CO,206B
VH-NFO,FIREBIRD 217,Australia,AEROSPATIALE INDUSTRIES,AS.350B2
VH-PIW,FIREBIRD 218,Australia,EUROCOPTER FRANCE,AS.350B2
VH-THV,FIREBIRD 219,Australia,AEROSPATIALE INDUSTRIES,AS.350B2
VH-UTJ,FIREBIRD 220,Australia,BELL HELICOPTER TEXTRON,206L-3
VH-ONS,FIREBIRD 221,Australia,EUROCOPTER,AS 350 B2
VH-JWD,FIREBIRD 223,Australia,AEROSPATIALE INDUSTRIES,AS.350D
VH-AGL,FIREBIRD 224,Australia,EUROCOPTER,AS.350B2
VH-MDE,FIREBIRD 225,Australia,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
VH-IHC,FIREBIRD 226,Australia,BELL HELICOPTER CO,206L-1
VH-TSV,FIREBIRD 227,Australia,EUROCOPTER,AS 350 BA
VH-8HK,FIREBIRD 229,Australia,AMERICAN EUROCOPTER,AS350B3
VH-CHO,FIREBIRD 230,Australia,EUROCOPTER FRANCE,AS.350B2
VH-BLR,FIREBIRD 231,Australia,BELL HELICOPTER CO,206B (II)
VH-DMC,FIREBIRD 232,Australia,BELL HELICOPTER CO,206L-3
VH-ONR,FIREBIRD 233,Australia,BELL HELICOPTER CO,206L-3
VH-ENX,FIREBIRD 234,Australia,AEROSPATIALE INDUSTRIES,AS350 FX2
VH-FIP,FIREBIRD 235,Australia,BELL HELICOPTER CO,206B (III)
VH-SKU,FIREBIRD 237,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-4
VH-JWF,FIREBIRD 239,Australia,BELL HELICOPTER CO,206B (III)
VH-MJI,FIREBIRD 240,Australia,BELL HELICOPTER TEXTRON CANADA LTD,429
VH-UTM,FIREBIRD 242,Australia,AEROSPATIALE INDUSTRIES,AS.350BA
VH-VTN,FIREBIRD 243,Australia,EUROCOPTER,AS.350B3
VH-XDB,FIREBIRD 244,Australia,EUROCOPTER,AS 350 B2
VH-DVM,FIREBIRD 245,Australia,EUROCOPTER,AS 350 B3
VH-UAZ,FIREBIRD 249,Australia,EUROCOPTER,AS.350B3
VH-JMW,FIREBIRD 252,Australia,EUROCOPTER,AS 350 BA
VH-THY,FIREBIRD 254,Australia,EUROCOPTER,AS 350 B3
VH-UAI,FIREBIRD 255,Australia,BELL HELICOPTER CO,206L-3
VH-DMX,FIREBIRD 257,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,427
VH-LZH,FIREBIRD 258,Australia,EUROCOPTER,AS 350 B2
VH-ZHM,FIREBIRD 260,Australia,AEROSPATIALE INDUSTRIES,AS350 SD2
VH-BBY,FIREBIRD 261,Australia,BELL HELICOPTER TEXTRON,206B
VH-HKB,FIREBIRD 264,Australia,BELL HELICOPTER CO,206B (II)
VH-OMR,FIREBIRD 268,Australia,BELL HELICOPTER CO,206B (III)
VH-JAK,FIREBIRD 269,Australia,BELL HELICOPTER CO,206B (III)
VH-HVK,FIREBIRD 270,Australia,AEROSPATIALE INDUSTRIES,AS350 FX2
VH-ENC,FIREBIRD 271,Australia,AEROSPATIALE INDUSTRIES,AS350 FX2
VH-YOS,FIREBIRD 273,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-ZBB,FIREBIRD 274,Australia,BELL HELICOPTER TEXTRON CANADA LTD,206B
VH-PCO,FIREBIRD 275,Australia,AIRBUS HELICOPTERS,AS 350 B3
VH-LEE,FIREBIRD 276,Australia,BELL HELICOPTER TEXTRON CANADA LTD,206L-3
VH-ONM,FIREBIRD 277,Australia,BELL HELICOPTER TEXTRON,206B
VH-OZC,FIREBIRD 278,Australia,BELL HELICOPTER CO,206L-3
VH-RDA,FIREBIRD 279,Australia,EUROCOPTER,AS 350 B2
VH-NHT,FIREBIRD 281,Australia,BELL HELICOPTER CO,206L-3
VH-XGC,FIREBIRD 283,Australia,EUROCOPTER FRANCE,AS.350B3
VH-ELC,FIREBIRD 284,Australia,EUROCOPTER,AS.350B3
VH-EGJ,FIREBIRD 285,Australia,AEROSPATIALE INDUSTRIES,AS.350BA
VH-BUK,FIREBIRD 287,Australia,AEROSPATIALE INDUSTRIES,AS.350BA
VH-ICM,FIREBIRD 288,Australia,EUROCOPTER,AS.350B2
VH-JFN,FIREBIRD 289,Australia,EUROCOPTER FRANCE,AS.350B2
VH-YAS,FIREBIRD 290,Australia,AIRBUS HELICOPTERS,AS 350 B2
VH-YAM,FIREBIRD 291,Australia,BELL HELICOPTER CO,206B (II)
VH-VTY,FIREBIRD 292,Australia,EUROCOPTER,AS 350 B2
VH-DKG,FIREBIRD 293,Australia,BELL HELICOPTER CO,407
VH-FHS,FIREBIRD 295,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-4
VH-ZMH,FIREBIRD 296,Australia,EUROCOPTER FRANCE,AS.350B3
VH-ANC,FIREBIRD 297,Australia,BELL HELICOPTER TEXTRON CANADA LTD,206L-3
VH-BHF,FIREBIRD 298,Australia,BELL HELICOPTER CO,206L-1
VH-NYC,FIREBIRD 299,Australia,AIRBUS HELICOPTERS,AS 350 B2
VH-XXW,FIREBIRD 300,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-BLA,FIREBIRD 301,Australia,AEROSPATIALE INDUSTRIES,AS350 SD1
VH-NDO,FIREBIRD 302,Australia,AEROSPATIALE INDUSTRIES,AS350 FX2
VH-PXX,FIREBIRD 303,Australia,AIRBUS HELICOPTERS,AS 350 B3
VH-YXX,FIREBIRD 304,Australia,AIRBUS HELICOPTERS,AS 350 B3
VH-AWK,FIREBIRD 305,Australia,AEROSPATIALE INDUSTRIES,AS350 FX2
VH-XXM,FIREBIRD 306,Australia,EUROCOPTER FRANCE,AS.350B2
VH-LSR,FIREBIRD 307,Australia,EUROCOPTER,AS.350B2
VH-ZXX,FIREBIRD 309,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-SCO,FIREBIRD 310,Australia,AEROSPATIALE INDUSTRIES,AS350 FX2
