Reg,Callsign,Country,Make,Model
VH-PGA,BIRDDOG 376,Australia,EADS SOCATA,TBM700
VH-VMV,BIRDDOG 428,Australia,VULCANAIR S.P.A.,P.68C
VH-YKG,BIRDDOG 690,Australia,PILATUS AIRCRAFT LTD,PC-12/47E
VH-NTV,BOMBER 400,Australia,"THRUSH AIRCRAFT, INC.",S2R-H80
VH-NHL,BOMBER 405,Australia,"THRUSH AIRCRAFT, LLC.",S2R-T660
VH-IBF,FIREBIRD 228,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,407
VH-EKE,FIREBIRD 250,Australia,EUROCOPTER FRANCE,AS 350 BA
VH-JVS,FIREBIRD 272,Australia,AEROSPATIALE,350 B2
VH-UJB,FIREBIRD 308,Australia,AIRBUS HELICOPTERS DEUTSCHLAND GMBH,EC135 P3
VH-8JB,FIREBIRD 324,Australia,AIRBUS HELICOPTERS DEUTSCHLAND GMBH,MBB-BK117 D-3
VH-KMI,FIREBIRD 411,Australia,EUROCOPTER,AS-350B3
VH-83Q,FIREBIRD 435,Australia,EUROCOPTER,AS350B3
VH-JMM,FIREBIRD 437,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-3
VH-HZQ,FIREBIRD 444,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-3
VH-JEK,FIREBIRD 445,Australia,BELL TEXTRON CANADA LIMITED,407
VH-JIW,FIREBIRD 446,Australia,BELL TEXTRON CANADA LIMITED,407
VH-JUF,FIREBIRD 447,Australia,BELL TEXTRON CANADA LIMITED,407
VH-JEV,FIREBIRD 451,Australia,BELL TEXTRON CANADA LIMITED,407
VH-VPE,FIREBIRD 459,Australia,BELL TEXTRON CANADA LIMITED,407
VH-PGV,FIREBIRD 468,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-3
VH-8BU,FIREBIRD 481,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,407
VH-PUM,FIREBIRD 482,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,407
VH-DMF,FIREBIRD 492,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,407
VH-FXF,FIREBIRD 5,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-3
VH-OCS,FIREBIRD 834,Australia,EUROCOPTER,350 B2
VH-CWQ,FIREBIRD 861,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-3
VH-NAO,FIRESCAN 202,Australia,HAWKER BEECHCRAFT CORPORATION,B300C
VH-8MI,FIRESCAN 398,Australia,PILATUS AIRCRAFT LTD,PC-12/47E
VH-8MF,FIRESCAN 399,Australia,PILATUS AIRCRAFT LTD.,PC-12/47E
VH-JFT,FIRESPOTTER 410,Australia,CESSNA AIRCRAFT COMPANY,210J
VH-8FV,FIRESPOTTER 415,Australia,"QUEST AIRCRAFT COMPANY, LLC",KODIAK 100
VH-NPZ,FIRESPOTTER 422,Australia,TEXTRON AVIATION INC.,208
VH-XIA,GUARDIAN 1,Australia,LEONARDO S.P.A. HELICOPTERS,AW139
VH-XIU,GUARDIAN 3,Australia,LEONARDO S.P.A. HELICOPTERS,AW139
VH-XNR,GUARDIAN 4,Australia,"AGUSTA, SPA, CONSTRUZIONI AERONAUTICHE",A109SP
VH-XRH - Copy,HELITAK 419,Australia,AGUSTA S.P.A.,A119
VH-WOC,HELITAK 420,Australia,BELL HELICOPTER CO,205A-1
VH-HGM,HELITAK 477,Australia,AIRBUS HELICOPTERS,EC 225 LP
VH-SYZ,RESCUE 22,Australia,"AGUSTA, SPA, CONSTRUZIONI AERONAUTICHE",AW139
VH-NVE,RESCUE 26,Australia,AGUSTAWESTLAND S.P.A.,AW139
VH-RQY,RESCUE 41,Australia,AGUSTA S.P.A.,AW 139
VH222,VH-TEST4,Australia,BELL HELICOPTER CO,206A
VH125,VH-TEST7,Australia,BELL HELICOPTER CO,222-U
