Reg,Callsign,Country,Make,Model
ZK-DPE,DPE-(F/W-185),New Zealand,CESSNA AIRCRAFT COMPANY,185
ZK-ENT,ENT-(F/W),New Zealand,CESSNA AIRCRAFT COMPANY,206H
ZK-FSR,FSR-(F/W),New Zealand,GIPPSLAND AERONAUTICS PTY. LTD.,GA8
ZK-JCW,JCW-(F/W-180),New Zealand,CESSNA AIRCRAFT COMPANY,180K
ZK-JMP,JMP-(F/W 208),New Zealand,CESSNA AIRCRAFT COMPANY,208B
ZK-KBZ,KBZ-(F/W),New Zealand,GIPPSLAND AERONAUTICS PTY. LTD.,GA8
ZK-MCK,MCK-(F/W),New Zealand,PILATUS AIRCRAFT LTD,PC-6
ZK-MCN,MCN-(F/W),New Zealand,PILATUS AIRCRAFT LTD,PC-6
ZK-MCT,MCT-(F/W),New Zealand,PILATUS AIRCRAFT LTD,PC-6
ZK-PEL,PEL-(F/W),New Zealand,GIPPSLAND AERONAUTICS PTY LTD,GA8
ZK-PRM,PRM-(F/W-FLOAT),New Zealand,CESSNA AIRCRAFT COMPANY,185
ZK-TTS,TTS-(F/W 208),New Zealand,CESSNA AIRCRAFT COMPANY,208
ZK-YUG,YUG-(F/W GA-8)PAX,New Zealand,GIPPSLAND AERONAUTICS PTY LTD,GA-8
