Reg,Callsign,Country,Make,Model
ZK-JBC,JBC-(F/W),New Zealand,PACIFIC AEROSPACE CORPORATION,750XL
ZK-LTB,LTB-(F/W PAC),New Zealand,PACIFIC AEROSPACE CORPORATION,08-600
ZK-LTW,LTW-(F/W PAC),New Zealand,PACIFIC AEROSPACE CORPORATION,08-600
ZK-MOT,MOT-(F/W 402),New Zealand,AIR TRACTOR INC,AT-402B
ZK-OAL,OAL-(F/W),New Zealand,PACIFIC AEROSPACE CORPORATION,08-600
ZK-OAS,OAS-(F/W 600),New Zealand,PACIFIC AEROSPACE CORPORATION,08-600
ZK-OAS - Copy,OAS-(FW),New Zealand,PACIFIC AEROSPACE CORPORATION,08-600
ZK-SAT,SAT-(F/W 402),New Zealand,AIR TRACTOR INC,AT-402
ZK-SUZ,SUZ-(F/W PAC),New Zealand,PACIFIC AEROSPACE CORPORATION,08-600
ZK-SWA,SWA-(F/W),New Zealand,PACIFIC AEROSPACE CORPORATION,750XL
ZK-TPW,TPW-(F/W PAC),New Zealand,PACIFIC AEROSPACE CORPORATION,08-600
ZK-XLC,XLC-(F/W),New Zealand,PACIFIC AEROSPACE CORPORATION,750XL
ZK-XLR,XLR-(F/W XL),New Zealand,PACIFIC AEROSPACE CORPORATION,750XL
