Reg,Callsign,Country,Make,Model
ZK-HBK,HBK-(BK),New Zealand,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
ZK-HGU,HGU-(BK),New Zealand,MESSERSCHMITT-BOLKOW-BLOHM GMBH,MBB BK 117 B-2
ZK-HGW,HGW-(BK),New Zealand,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
ZK-HHA,HHA-(UH-1)-NO PAX,New Zealand,BELL HELICOPTER CO,UH-1B
ZK-HHB,HHB-(UH-1)-NO PAX,New Zealand,BELL HELICOPTER CO,UH-1B
ZK-HHF,HHF-(UH-1)-NO PAX,New Zealand,BELL HELICOPTER CO,UH-1B
ZK-HJC,HJC-(BK),New Zealand,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
ZK-HJK,HJK-(BK),New Zealand,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
ZK-HJX,HJX-(UH-1) NO PAX,New Zealand,BELL HELICOPTER CO,UH-1H
ZK-HMR,HMR-(BK),New Zealand,MESSERSCHMITT-BOLKOW-BLOHM GMBH,MBB BK 117 B-2
ZK-HZX,HZX-(UH-1) NO PAX,New Zealand,BELL HELICOPTER CO,UH-1H
ZK-IBK,IBK-(BK),New Zealand,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
ZK-ICY,ICY-(BK),New Zealand,MESSERSCHMITT-BOLKOW-BLOHM GMBH,MBB BK 117 B-2
ZK-IDT,IDT-(BK),New Zealand,AIRBUS HELICOPTERS,EC145
ZK-IFY,IFY-(BK),New Zealand,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 B-2
ZK-IGG,IGG-(BK),New Zealand,EUROCOPTER DEUTSCLAND GMBH,MBB-BK 117 C-2
ZK-IGI,IGI-(H145),New Zealand,AIRBUS HELICOPTERS,EC145
ZK-IGS,IGS-(BK),New Zealand,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 B-2
ZK-IME,IME-(BK),New Zealand,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
ZK-IMN,IMN-(BK),New Zealand,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 B-2
ZK-IMX,IMX-(BK),New Zealand,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 C-1
ZK-IRD,IRD-(BK),New Zealand,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 B-2
ZK-IWD,IWD-(BK),New Zealand,EUROCOPTER DEUTSCHLAND GMBH,MBB-BK 117 C-2
ZK-IYY,IYY-(BK),New Zealand,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 C-1
