Reg,Callsign,Country,Make,Model
ZK-HAA,HAA-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HAC,HAC-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HAE,HAE-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HAH,HAH-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-HAL,HAL-(JR),New Zealand,BELL HELICOPTER TEXTRON,206B
ZK-HAN,HAN-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HAS,HAS-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,MD530F
ZK-HBA,HBA-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HBB,HBB-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-HBE,HBE-(EC130),New Zealand,EUROCOPTER,EC 130 B4
ZK-HBJ,HBJ-(JR),New Zealand,BELL HELICOPTER CO,206B
ZK-HBN,HBN-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HBT,HBT-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HBW,HBW-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HBZ,HBZ-(130),New Zealand,AIRBUS HELICOPTERS,EC 130 T2
ZK-HCD,HCD-(500),New Zealand,HUGHES HELICOPTERS,369E
ZK-HCP,HCP-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-HCQ,HCQ-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-HCW,HCW-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HDB,HDB-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-HDD,HDD-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-HDG,HDG-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HDL,HDL-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HDN,HDN-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-HDU,HDU-(JR),New Zealand,BELL HELICOPTER CO,206B
ZK-HDW,HDW-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-HDX,HDX-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-HEE,HEE-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3
ZK-HEN,HEN-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-HFA,HFA-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HFF,HFF-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HFH,HFH-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HFJ,HFJ-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-HFK,HFK-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HFT,HFT-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HGO,HGO-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-HGV,HGV-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HHC,HHC-(JR),New Zealand,BELL HELICOPTER CO,206B
ZK-HHG,HHG-(500),New Zealand,HUGHES HELICOPTERS,369D
ZK-HHH,HHH-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HIB,HIB-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HIE,HIE-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-HIH,HIH-(BA),New Zealand,AEROSPATIALE INDUSTRIES,AS350 SD1
ZK-HIN,HIN-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-HIX,HIX-(JR) NO PAX,New Zealand,BELL HELICOPTER CO,206B (III)
ZK-HJI,HJI-(JR),New Zealand,BELL HELICOPTER CO,206B (III)
ZK-HJO,HJO-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D
ZK-HJS,HJS-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HJU,HJU-(EC120),New Zealand,EUROCOPTER,EC 120 B
ZK-HJZ,HJZ-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HKA,HKA-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HKC,HKC-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-HKE,HKE-(LR),New Zealand,BELL HELICOPTER CO,206L-1
ZK-HKG,HKG-(JR) NO PAX,New Zealand,BELL HELICOPTER TEXTRON,206B
ZK-HKR,HKR-(JR),New Zealand,BELL HELICOPTER CO,206B
ZK-HKS,HKS-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D
ZK-HKW,HKW-(EC130),New Zealand,EUROCOPTER,EC 130 B4
ZK-HLS,HLS-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HMD,HMD-(B2),New Zealand,EUROCOPTER,AS.350B2
ZK-HMG,HMG-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HML,HML-(355),New Zealand,AEROSPATIALE,355F1
ZK-HMM,HMM-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-HNC,HNC-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HND,HND-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HNE,HNE-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HNL,HNL-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HNQ,HNQ-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HNT,HNT-(500),New Zealand,HUGHES HELICOPTERS,369D
ZK-HNU,HNU-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HNV,HNV-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-HNW,HNW-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HNX,HNX-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HOC,HOC-(JR),New Zealand,BELL HELICOPTER CO,206B (III)
ZK-HOI,HOI-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HOL,HOL-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,MD530F
ZK-HOT,HOT-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D
ZK-HPE,HPE-(B2) NO PAX,New Zealand,EUROCOPTER,AS 350 B2
ZK-HPK,HPK-(JR),New Zealand,BELL HELICOPTER CO,206B
ZK-HPM,HPM-(EC120),New Zealand,EUROCOPTER,EC 120 B
ZK-HPS,HPS-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HQD,HQD-(B2) NO PAX,New Zealand,EUROCOPTER,AS 350 B2
ZK-HQN,HQN-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HQQ,HQQ-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-HQT,HQT-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-HRA,HRA-(500),New Zealand,HUGHES HELICOPTERS,369FF
ZK-HRB,HRB-(B3),New Zealand,EUROCOPTER,AS 350 B3
