Reg,Callsign,Country,Make,Model
N292EA,BOMBER 102,United States,MCDONNELL DOUGLAS CORP.,MD-87
N293EA,BOMBER 103,United States,MCDONNELL DOUGLAS CORP.,MD-87
N131CG,BOMBER 131,United States,LOCKHEED AIRCRAFT CORP,C130Q
N132CG,BOMBER 132,United States,LOCKHEED AIRCRAFT CORP,C130H
N140CG,BOMBER 133,United States,LOCKHEED AIRCRAFT CORP,C130H
N136CG,BOMBER 136,United States,LOCKHEED AIRCRAFT CORP,C130H
N137CG,BOMBER 137,United States,THE BOEING COMPANY,737-3H4
N382CG,BOMBER 138,United States,LOCKHEED AIRCRAFT CORP,C130H
N130CG,BOMBER 140,United States,LOCKHEED AIRCRAFT CORP,C130H
N138CG,BOMBER 210,United States,THE BOEING COMPANY,737-3H4
N612AX,BOMBER 910,United States,MCDONNELL DOUGLAS CORP.,DC-10-30
N17085,BOMBER 911,United States,MCDONNELL DOUGLAS CORP.,DC-10-30
N522AX,BOMBER 912,United States,MCDONNELL DOUGLAS CORP.,DC-10-30
N603AX,BOMBER 914,United States,MCDONNELL DOUGLAS CORP.,DC-10-30
