Reg,Callsign,Country,Make,Model
N47CU,HELITAK 211,United States,UNICAL - BOEING,CH-47D
N61AA,HELITAK 233,United States,SIKORSKY AIRCRAFT,EH-60A
N711BF,HELITAK 237,United States,SIKORSKY AIRCRAFT CORPORATION,UH-60L
N948CH,HELITAK 279,United States,TANDEM ROTOR,CH47D
N620TJ,HELITAK 280,United States,SIKORSKY AIRCRAFT,UH-60A
N274TH,HELITAK 290,United States,SIKORSKY AIRCRAFT,UH-60A
N60CU,HELITAK 330,United States,SIKORSKY AIRCRAFT CORPORATION,UH-60A
N745H,HELITAK 339,United States,BELL HELICOPTER TEXTRON,214ST
N178AC,HELITAK 341,United States,SIKORSKY AIRCRAFT,S64F
N163AC,HELITAK 342,United States,SIKORSKY AIRCRAFT,S64F
N4875A,HELITAK 345,United States,SIKORSKY AIRCRAFT CORPORATION,UH-60L
N512EV,HELITAK 347,United States,BELL HELICOPTER TEXTRON,214ST
N125FH,HELITAK 367,United States,SIKORSKY AIRCRAFT,UH-60A
N137WZ,HELITAK 415,United States,SIKORSKY AIRCRAFT CORPORATION,UH-60L
N823H,HELITAK 425,United States,BELL HELICOPTER TEXTRON,214ST
N391AL,HELITAK 426,United States,BELL HELICOPTER TEXTRON,214ST
N746H,HELITAK 427,United States,BELL HELICOPTER TEXTRON,214ST
N787SR,HELITAK 428,United States,BELL HELICOPTER TEXTRON,214ST
N214AU,HELITAK 431,United States,BELL HELICOPTER TEXTRON,214ST
N166DP,HELITAK 460,United States,SIKORSKY AIRCRAFT CORPORATION,UH-60A
N460UH,HELITAK 668,United States,SIKORSKY AIRCRAFT,UH-60A
N517MB,HELITAK 669,United States,SIKORSKY AIRCRAFT,UH-60A
N260UH,HELITAK 678,United States,SIKORSKY AIRCRAFT,UH-60A
N360UH,HELITAK 679,United States,SIKORSKY AIRCRAFT,UH-60A
