Reg,Callsign,Country,Make,Model
N365JL,FIREBIRD 475,United States,EUROCOPTER FRANCE,AS.365N2
N365JA,FIREBIRD 661,United States,EUROCOPTER FRANCE,AS.365N3
N97MD,FIREBIRD 662,United States,EUROCOPTER FRANCE,AS.365N3
N82MD,FIREBIRD 663,United States,EUROCOPTER FRANCE,AS.365N3
N234PH,HELITAK 335,United States,BELL HELICOPTER CO,214B-1
N1073W,HELITAK 473,United States,BELL HELICOPTER CO,214B-1
N216PJ,HELITAK 671,United States,BELL HELICOPTER CO,214B-1
N254SM,HELITAK 672,United States,BELL HELICOPTER CO,214B-1
N214HM,HELITAK 673,United States,BELL HELICOPTER CO,214B-1
N49732,HELITAK 674,United States,BELL HELICOPTER CO,214B-1
N281JL,HELITAK 676,United States,BELL HELICOPTER CO,214B-1
N217PJ,HELITAK 677,United States,BELL HELICOPTER CO,214B-1
