"TGID","Alias","Description"
"40010","ESA 7","ACT ESA Liaison 7"
"40011","ESA 8","ACT ESA Liaison 8"
"40031","AIR SUP","ACT ESA Air Support"
"40032","ESA 1","ACT ESA Liaison 1"
"40033","ESA 2","ACT ESA Liaison 2"
"40034","ESA 3","ACT ESA Liaison 3"
"40035","ESA 4","ACT ESA Liaison 4"
"40036","ESA 5","ACT ESA Liaison 5"
"40037","ESA 6","ACT ESA Liaison 6"
"40038","ESA 9","ACT ESA Liaison 9"
"40039","ESA 10","ACT ESA Liaison 10"
"40040","ESA 11","ACT ESA Liaison 11"
"40041","ESA 12","ACT ESA Liaison 12"
"40042","ESA 13","ACT ESA Liaison 13"
"40043","ESA 14","ACT ESA Liaison 14"
"40046","ESA 15","ACT ESA Liaison 15"
"40047","ESA 16","ACT ESA Liaison 16"
"40068","1 RFS OPS","ACT RFS Operations"
"40069","2 FG","ACT RFS Fireground"
"40070","3 FG","ACT RFS Fireground"
"40071","4 FG","ACT RFS Fireground"
"40072","5 FG","ACT RFS Fireground"
"40073","6 FG","ACT RFS Fireground"
"40074","7 FG","ACT RFS Fireground"
"40075","8 RFS IMT","ACT RFS Incident Management Team"
"40076","9 AIR OPS","ACT RFS Air Operations"
"40077","10 PLT OPS","ACT RFS Plant Operations"
"40078","1 SES OPS","ACT SES Operations"
"40079","2 BEL SES","ACT SES Beclconnen Unit"
"40080","3 GUN SES","ACT SES Gungahlin Unit"
"40081","4 MAJ SES","ACT SES Majura Unit"
"40082","5 PIA SES","ACT SES Pialligo Unit"
"40083","6 WOD SES","ACT SES Woden Unit"
"40084","7 RIV SES","ACT RFS Rivers Unit"
"40085","8 TUG SES","ACT RFS Tuggeranong Unit"
"40086","9 SES IMT","ACT SES Incident Management Team"
"40087","10 SES IMT","ACT SES Incident Management Team"
"40088","11 SES IMT","ACT SES Incident Management Team"
"42000","11 GUI RFS","ACT RFS Guise Creek Brigade"
"42001","12 GUN RFS","ACT RFS Gungahlin Brigade"
"42002","13 HALL RFS","ACT RFS Hall Brigade"
"42003","14 JER RFS","ACT RFS Jerrabomberra Brigade"
"42004","15 MOL RFS","ACT RFS Molonglo Brigade"
"42005","16 RIV RFS","ACT RFS Rivers Brigade"
"42006","17 SOU RFS","ACT RFS Southern Districts Brigade"
"42007","18 TID RFS","ACT RFS Tidbinbilla Brigade"
"42008","19 HQ RFS","ACT RFS Headquarters Brigade"
"44004","ESA 17 1-TREE","ACT ESA DISREC Site 3-03 (One Tree)"
"44005","ESA 18 TENNENT","ACT ESA DISREC Site 3-10 (Mt Tennent)"
"44006","ESA 19 BULLS H","ACT ESA DISREC Site 3-08 (Bulls Head)"
"44007","ESA 20 GININI","ACT ESA DISREC Site 3-09 (Mt Ginini)"
"44008","ESA 21 MT CLEAR","ACT ESA DISREC Site 3-14 (Mt Clear)"
