"TGID","Alias","Description"
"11676","-","Test TG"
"11677","-","Test TG"
"11678","-","Test TG"
"11679","-","-"
"11680","-","-"
"11681","-","-"
"11682","-","-"
"11683","-","-"
"11684","-","-"
"11685","-","-"
"19801","-","-"
"19802","-","-"
"19803","-","-"
"19804","-","-"
"19805","-","-"
"19806","-","-"
"19807","-","-"
"19808","-","-"
"19809","-","-"
"19810","-","-"
"19811","-","-"
"19812","-","-"
"19813","-","-"
"19814","-","-"
"19815","-","-"
"19816","-","-"
"19817","-","-"
"19818","-","-"
"19819","-","-"
"19820","-","-"
"19821","-","-"
"19822","-","-"
"19823","-","-"
"19824","-","-"
"19825","-","-"
"19826","-","-"
"19827","-","-"
"19828","-","-"
"19829","-","-"
"19830","-","-"
"19831","-","-"
"19832","-","-"
"19833","-","-"
"19834","-","-"
"19835","-","-"
"19836","-","-"
"19837","-","-"
"19838","-","-"
"19839","-","-"
"19840","-","-"
"19841","-","-"
"19842","-","-"
"19843","-","-"
"19848","-","-"
"19856","-","-"
"19860","-","-"
"19864","-","-"
"19866","-","-"
"19870","-","-"
