"TGID","Alias","Description"
"10000","GL 01","Government Liaison 1"
"10001","GL 02","Government Liaison 2"
"10002","GL 03","Government Liaison 3"
"10003","GL 04","Government Liaison 4"
"10004","GL 05","Government Liaison 5"
"10005","GL 06","Government Liaison 6"
"10006","GL 07","Government Liaison 7"
"10007","GL 08","Government Liaison 8"
"10008","GL 09","Government Liaison 9"
"10009","GL 10","Government Liaison 10"
"10010","ESO 01","Emergency Liaison 1"
"10011","ESO 02","Emergency Liaison 2"
"10012","ESO 03","Emergency Liaison 3"
"10013","ESO 04","Emergency Liaison 4"
"10014","ESO 05","Emergency Liaison 5"
"10015","ESO 06","Emergency Liaison 6"
"10016","ESO 07","Emergency Liaison 7"
"10017","ESO 08","Emergency Liaison 8"
"10018","ESO 09","Emergency Liaison 9"
"10019","ESO 10","Emergency Liaison 10 - NSW Police Liaison"
"10020","ESO 11","Emergency Liaison 11"
"10021","ESO 12","Emergency Liaison 12"
"10022","ESO 13","Emergency Liaison 13"
"10023","ESO 14","Emergency Liaison 14"
"10024","ESO 15","Emergency Liaison 15"
"10025","ESO 16","Emergency Liaison 16"
"10026","ESO 17","Emergency Liaison 17"
"10027","ESO 18","Emergency Liaison 18"
"10028","ESO 19","Emergency Liaison 19"
"10029","ESO 20","Emergency Liaison 20"
