"TGID","Alias","Description"
"11926","-","-"
"11927","-","-"
"11928","-","-"
"11929","-","-"
"11930","-","-"
"11931","-","-"
"11932","-","-"
"11933","-","-"
"11934","-","-"
"11935","-","-"
"11936","-","-"
"11937","-","-"
"11938","-","-"
"11939","-","-"
"11940","-","-"
"11941","-","-"
"11942","-","-"
"11943","-","-"
"11944","-","-"
"11945","-","-"
"11946","-","-"
"11947","-","-"
"11948","-","-"
"11949","-","-"
"11950","-","-"
"11951","-","-"
"11952","-","-"
"11953","-","-"
"11954","-","-"
"11955","-","-"
"11956","-","-"
"11957","-","-"
"11958","-","-"
"11959","-","-"
"11960","-","-"
"11961","-","-"
"11962","-","-"
"11963","-","-"
"11964","-","-"
"11965","-","-"
"11966","-","-"
"11967","-","-"
"11968","-","-"
"11969","-","-"
"11970","-","Circular Quay Liaison"
"11971","-","-"
"11972","-","-"
"11973","-","-"
"11974","-","-"
