"TGID","Alias","Description"
"10451","Unknown User (RID 210####)","-"
"10452","Unknown User (RID 210####)","-"
"10453","Unknown User (RID 210####)","-"
"10459","Unknown User","-"
"10460","Unknown User","-"
"10481","Unknown User (RID 217####)","-"
"10482","Unknown User (RID 217####)","-"
"10483","Unknown User (RID 217####)","-"
"10485","Unknown User (RID 217####)","-"
"11451","Unknown User (RID 261####)","-"
"11452","Unknown User (RID 261####)","-"
"11454","Unknown User (RID 261####)","-"
"11459","Unknown User (RID 261####)","-"
"11460","Unknown User (RID 261####)","-"
"11461","Unknown User (RID 261####)","-"
"11462","Unknown User (RID 261####)","-"
"11501","Unknown User (RID 266####)","-"
"11502","Unknown User (RID 266####)","-"
"11503","Unknown User (RID 266####)","-"
"11504","Unknown User (RID 266####)","-"
"11505","Unknown User (RID 266####)","-"
"11506","Unknown User (RID 266####)","-"
"11507","Unknown User (RID 266####)","-"
"11508","Unknown User (RID 266####)","-"
"11509","Unknown User (RID 266####)","-"
"11510","Unknown User (RID 266####)","-"
"11511","Unknown User (RID 26590##)","-"
"11512","Unknown User (RID 26590##)","-"
"11519","Unknown User (RID 26590##)","-"
"11520","Unknown User (RID 26590##)","-"
"11611","Unknown User (RID 24497##)","-"
"11612","Unknown User (RID 24497##)","-"
"11613","Unknown User (RID 24497##)","-"
"11614","Unknown User (RID 24497##)","-"
"11615","Unknown User (RID 24497##)","-"
"11616","Unknown User (RID 24497##)","-"
"11617","Unknown User (RID 24497##)","-"
"11618","Unknown User (RID 24497##)","-"
"11619","Unknown User (RID 24497##)","-"
"11620","Unknown User (RID 24497##)","-"
"11621","Unknown User (RID 24497##)","-"
"11622","Unknown User (RID 24497##)","-"
"11670","Unknown User (RID 24488##)","-"
"11671","Unknown User (RID 24488##)","-"
"11672","Unknown User (RID 24488##)","-"
"11701","Unknown User (RID 2177###)","-"
"11702","Unknown User (RID 2177###)","-"
"11703","Unknown User (RID 2177###)","-"
"11704","Unknown User (RID 2177###)","-"
"11705","Unknown User (RID 2177###)","-"
"11706","Unknown User (RID 2177###)","-"
"11707","Unknown User (RID 2177###)","-"
"11708","Unknown User (RID 2177###)","-"
"12501","Unknown User (RID 2661###)","-"
"12502","Unknown User (RID 2661###)","-"
"12503","Unknown User (RID 2661###)","-"
"12504","Unknown User (RID 2661###)","-"
"12505","Unknown User (RID 2661###)","-"
"12506","Unknown User (RID 2661###)","-"
"12507","Unknown User (RID 2661###)","-"
"12508","Unknown User (RID 2661###)","-"
"12509","Unknown User (RID 2661###)","-"
"12510","Unknown User (RID 2661###)","-"
"12511","Unknown User (RID 2661###)","-"
"12512","Unknown User (RID 2661###)","-"
"12513","Unknown User (RID 2661###)","-"
"12514","Unknown User (RID 2661###)","-"
"12515","Unknown User (RID 2661###)","-"
"12801","Unknown User (RID 26595##)","-"
"12802","Unknown User (RID 26595##)","-"
"12803","Unknown User (RID 26595##)","-"
"13401","Unknown User (RID 2651###)","-"
"13402","Unknown User (RID 2651###)","-"
"13403","Unknown User (RID 2651###)","-"
"13404","Unknown User (RID 2651###)","-"
"13405","Unknown User (RID 2651###)","-"
"13406","Unknown User (RID 2651###)","-"
"13407","Unknown User (RID 2651###)","-"
"13408","Unknown User (RID 2651###)","-"
"13409","Unknown User (RID 2651###)","-"
"13951","Unknown User (RID 2658###)","-"
"13952","Unknown User (RID 2658###)","-"
"13953","Unknown User (RID 2658###)","-"
"13954","Unknown User (RID 2658###)","-"
"13955","Unknown User (RID 2658###)","-"
"13956","Unknown User (RID 2658###)","-"
"14701","Unknown User (RID 2802###)","-"
"20540","Unknown User (RID 24807##)","-"
"20541","Unknown User (RID 24807##)","-"
"20542","Unknown User (RID 24807##)","-"
"20543","Unknown User (RID 24807##)","-"
