"TGID","Alias","Description"
"11376","ART CH x01","Shared Channel 1"
"11377","ART CH x02","Shared Channel 2"
"11378","ART CH x03","Shared Channel 3"
"11379","ART CH x04","Shared Channel 4"
"11380","ART CH x05","Shared Channel 5"
"11381","ART CH x06","Shared Channel 6"
"11382","ART CH x07","Shared Channel 7"
"11383","ART CH x08","Shared Channel 8"
"11384","ART CH x09","Shared Channel 9"
"11385","ART CH x10","Shared Channel 10"
"11386","ART CH x11","Shared Channel 11"
"11387","ART CH x12","Shared Channel 12"
"11388","ART CH x13","Shared Channel 13"
"11389","ART CH x14","Shared Channel 14"
"11390","ART CH x15","Shared Channel 15"
"11391","ART CH x16","Shared Channel 16"
"21109","-","-"
"21119","-","-"
"21121","-","-"
"21122","-","-"
