"TGID","Alias","Description"
"10901","-","Sydney Harbour Operations"
"10902","-","Parramatta River Operations"
"10903","-","Maintenance"
"10904","-","-"
"10905","-","Administration/Rosters"
"10906","-","-"
"10907","-","Balmain Shipyard"
"10908","-","-"
"10909","-","Revenue Protection"
"10910","-","-"
"10911","-","-"
"10912","-","-"
"10913","-","-"
"10914","-","-"
"10915","-","-"
"10916","-","-"
"10917","-","-"
"10918","-","-"
"10919","-","-"
"10920","-","McMahons Point Wharf"
"10921","-","Meadowbank Wharf"
"10922","-","-"
"10923","-","-"
"10924","-","Watsons Bay Wharf"
"10925","-","-"
"10926","-","-"
"10927","-","Taronga Zoo Wharf"
"10928","-","-"
"10929","-","-"
"10930","-","-"
