"TGID","Alias","Description"
"11102","OSM","Operations Safety Manager"
"11103","DIU 1","Drug Investigation Unit 1"
"11104","SEC 1","Security 1"
"11105","SEC 2","Security 2"
"11106","SEC 3","Security 3"
"11107","SEC 4","Security 4"
"11108","PATROL 1","Patrol 1"
"11109","PATROL 2","Patrol 2"
"11110","PATROL 3","Patrol 3"
"11111","CONSEC","Contract Security"
"11112","SP OPS 1","Special Operations 1"
"11113","SP OPS 2","Special Operations 2"
"11114","SP OPS 3","Special Operations 3"
"11115","REV PR 1","Revenue Protection 1"
"11116","REV PR 2","Revenue Protection 2"
"11117","REV PR 3","Revenue Protection 3"
"11118","REV PR 4","Revenue Protection 4"
"11119","FIRE 1","Fire 1"
"11120","BLACK 1","Blacktown 1"
"11121","BLACK 2","Blacktown 2"
"11122","CITY 1","City 1"
"11123","CITY 2","City 2"
"11124","GOSFORD 1","Gosford 1"
"11125","GOSFORD 2","Gosford 2"
"11126","NEWC 1","Newcastle 1"
"11127","NEWC 2","Newcastle 2"
"11128","SOUTH 1","South 1"
"11129","SOUTH 2","South 2"
"11130","ILLAW 1","Illawarra 1"
"11131","ILLAW 2","Illawarra 2"
"11132","S COAST 1","South Coast 1"
"11133","S COAST 2","South Coast 2"
"11134","RERU TEAM","RailCorp Emergency Response Unit"
"11135","DIU TEAM","Drug Investigation Unit"
"11136","CHAN 01","Channel 1"
"11137","CHAN 02","Channel 2"
"11138","CHAN 03","Channel 3"
"11139","CHAN 04","Channel 4"
"11140","CHAN 05","Channel 5"
"11141","CHAN 06","Channel 6"
"11142","CHAN 07","Channel 7"
"11143","CHAN 08","Channel 8"
"11144","CHAN 09","Channel 9"
"11145","HUNTER OPS","Hunter Operations"
"11146","HUNTER INC","Hunter Incidents"
"11147","CHAN 12","Central Coast Operations"
"11148","CHAN 13","Central Coast Incidents"
"11149","CHAN 14","Channel 14"
"11150","CHAN 15","Channel 15"
"11151","ALL CHAN","All Channels"
"11152","CBD STNS","CBD Stations"
"11153","EVENT STAFF","Events Staff"
"11154","SUBN STNS","Suburban Stations"
"11155","OP CTL STN","Operations Central Station"
"11156","NOS","Network Operations Superintendent"
"11157","INC RESP OF","Incident Response Officer"
"11158","RMC","Rail Management Centre"
"11159","OP STD MGR","Operations Standards Manager"
"11160","SOS","Service Supervisor"
"11161","PRES SERV","Presentation Services"
"11162","ROLL STOCK","Rolling Stock"
"11163","BLDG SIDE","Building Side"
"11164","SPARE A","Spare A"
"11165","SPARE B","Spare B"
"11166","EVENT INC 1","Event Incident 1"
"11167","EVENT INC 2","Event Incident 2"
"11168","SW RAIL 1","South West Rail 1"
"11169","SW RAIL 2","South West Rail 2"
"11170","RAIL 3","Rail 3"
"11171","RAIL 4","Rail 4"
"11172","RAIL 5","Rail 5"
"11173","RAIL 6","Rail 6"
"11174","RAIL 7","Rail 7"
"11175","RAIL 8","Rail 8"
"11176","RAIL 9","Rail 9"
"11177","RAIL 10","Rail 10"
"11178","RAIL 11","Rail 11"
"11179","RAIL 12","Rail 12"
"11180","RAIL 13","Rail 13"
"11181","RAIL 14","Rail 14"
"11182","RAIL 15","Rail 15"
"11183","RAIL 16","Rail 16"
"11184","HIRE 01","Hire 1"
"11185","HIRE 02","Hire 2"
"11186","HIRE 03","Hire 3"
"11187","HIRE 04","Hire 4"
"11188","HIRE 05","Hire 5"
"11189","HIRE 06","Hire 6"
"11190","HIRE 07","Hire 7"
"11191","HIRE 08","Hire 8"
"11192","HIRE 09","Hire 9"
"11193","HIRE 10","Hire 10"
"11194","HIRE 11","Hire 11"
"11195","HIRE 12","Hire 12"
"11196","HIRE 13","Hire 13"
"11197","HIRE 14","Hire 14"
"11198","HIRE 15","Hire 15"
"11199","HIRE 16","Hire 16"
"11200","RSC","RailCorp Security Control"
"11201","WAYSIDE","Wayside"
"11202","STH WEST","South West"
"11203","MOUNTWEST","Blue Mountains/West"
"11204","NORTH","North"
"11205","CITYOFFICE","City Office"
"11206","CABLES","Cables"
"11207","CONSTRUCT","Construction"
"11208","WOLLGONG","Wollongong"
"11209","NEWCASTLE","Newcastle"
"11210","NET OPS","Network Operations"
"11211","COMMISSION","Commission"
"11212","OPERATIONS","Operations"
"11213","SERVICES","Services"
"11214","CCSINCCOM","City Circle Incident"
"11215","CCSINCBR","City Circle Incident"
"11216","CIVCENTRL","Civil Central"
"11217","CIV SYDNM","Civil Sydenham"
"11218","CIVSTRUCT","Civil Structure"
"11219","CIV ROW","Civil Row"
"11220","CIVSURVEY","Civil Survey"
"11221","CITYELEC1","City Electricity 1"
"11222","CITYELEC2","City Electricity 2"
"11223","CITYMAINS","City Mains"
"11224","CITYDISTR","City Distribution"
"11225","CITYPOSSE","City Possessions"
"11226","SIG SYDNM","Signals Sydenham"
"11227","SIG CENT1","Signals Central 1"
"11228","SIG CENT2","Signals Central 2"
"11229","SIG CENT3","Signals Central 3"
"11230","SIG CENT4","Signals Central 4"
"11231","CITYUG BR","City Underground"
"11232","WORKSITE1","Worksite 1"
"11233","WORKSITE2","Worksite 2"
"11234","WORKSITE3","Worksite 3"
"11235","WORKSITE4","Worksite 4"
"11236","CLYDE 1","Clyde 1"
"11237","CLYDE 2","Clyde 2"
"11238","LIDCOMBE1","Lidcombe 1"
"11239","LIDCOMBE2","Lidcombe 2"
"11240","W-GONG 1","Wollongong 1"
"11241","W-GONG 2","Wollongong 2"
"11242","NEWCASTL1","Newcastle 1"
"11243","NEWCASTL2","Newcastle 2"
"11244","GOSFORD A","Gosford A"
"11245","GOSFORD B","Gosford B"
"11246","RENEWALS1","Renewals 1"
"11247","RENEWALS2","Renewals 2"
"11248","GEN STN 01","General Station 1"
"11249","GEN STN 02","General Station 2"
"11250","GEN STN 03","General Station 3"
"11251","GEN STN 04","General Station 4"
"11252","GEN STN 05","General Station 5"
"11253","GEN STN 06","General Station 6"
"11254","GEN STN 07","General Station 7"
"11255","GEN STN 08","General Station 8"
"11256","GEN STN 09","General Station 9"
"11257","GEN STN 10","General Station 10"
"11258","GEN STN 11","General Station 11"
"11259","GEN STN 12","General Station 12"
"11260","GEN STN 13","General Station 13"
"11261","GEN STN 14","General Station 14"
"11262","GEN STN 15","General Station 15"
"11263","GEN STN 16","General Station 16"
"11264","CIVIL 1","Civil 1"
"11265","CIVIL 2","Civil 2"
"11266","ELEC 1","Electricity 1"
"11267","ELEC 2","Electricity 2"
"11268","SIGNALS 1","Signals 1"
"11269","SIGNALS 2","Signals 2"
"11270","SIGNALS 3","Signals 3"
"11271","OVERHEAD1","Overhead 1"
"11272","OVERHEAD2","Overhead 2"
"11273","OVERHEAD3","Overhead 3"
"11274","COMM 1","Communication 1"
"11275","COMM 2","Communication 2"
"11276","RENEWALS3","Renewals 3"
"11277","ECRL 1","Epping-Chatswood Rail Link 1"
"11278","ECRL 2","Epping-Chatswood Rail Link 2"
"11279","ECRL 3","Epping-Chatswood Rail Link 3"
"11280","CIV HBY 1","Civil Hornsby 1"
"11281","CIV HBY 2","Civil Hornsby 2"
"11282","CIV HBY 3","Civil Hornsby 3"
"11283","CIV WYG 1","Civil Wyong 1"
"11284","CIV WYG 2","Civil Wyong 2"
"11285","CIV WYG 3","Civil Wyong 3"
"11286","CIV ADM GN","Civil Administration"
"11287","CIV ADM WD","Civil Administration"
"11288","CIV ADM TP","Civil Administration"
"11289","STR BG","Strategic BG"
"11290","STR HR","Strategic Hunter Region"
"11291","EARTH","Earthworks"
"11292","WWOY 2013","Woy Woy 2013"
"11293","ROW","Right Of Way"
"11294","WONDABYNE","Wondabyne"
"11295","EMERGENCY","Emergency"
"11296","HBY 152","Hornsby 152"
"11297","HBY 154","Hornsby 154"
"11298","HBY 155","Hornsby 155"
"11299","HBY 161","Hornsby 161"
"11300","HBY 162","Hornsby 162"
"11301","HBY 163","Hornsby 163"
"11302","HBY 164","Hornsby 164"
"11303","NEW 158","Newcastle 158"
"11304","NEW 159","Newcastle 159"
"11305","NEW 154","Newcastle 154"
"11306","C/C SUP","Central Coast Supervisor"
"11307","NEW 151","Newcastle 151"
"11308","NEW 153","Newcastle 153"
"11309","NEW 152","Newcastle 152"
"11310","NCY SUP","Newcastle Supervisor"
"11311","SIGCOMMON","Signals Common"
"11312","EL M HBY1","Electricity Mains Hornsby 1"
"11313","EL M HBY2","Electricity Mains Hornsby 2"
"11314","ELE D HBY","Electricity Distribution Hornsby"
"11315","ELE C HBY","Electricity Hornsby"
"11316","EL M COM1","Electricity Mains Common 1"
"11317","EL M COM2","Electricity Mains Common 2"
"11318","SWITCHING","Switching 1"
"11319","SWITCH 2","Switching 2"
"11320","ELE GOS S","Electricity Gosford South"
"11321","ELE GOS N","Electricity Gosford North"
"11322","E GOS VEH","Electricity Gosford Vehicles"
"11323","ELE D TUG","Electricity Distribution Tuggerah"
"11324","EL MN MOR","Electricity Mains Morrisett"
"11325","EL MN HAM","Electricity Mains Hamilton"
"11326","SW POS 1","South West Possessions 1"
"11327","SW POS 2","South West Possessions 2"
"11328","STH INCID","South Incident"
"11329","STH GROUP","South Group"
"11330","STH POSSE","South Possessions"
"11331","CMPSI CIV1","Campsie Civil 1"
"11332","CMPSI CIV2","Campsie Civil 2"
"11333","FLEM CIVIL","Flemington Civil"
"11334","INGLBNCIV","Ingleburn Civil"
"11335","FLYINGGANG","Flying Gang"
"11336","STRATHSIG1","Strathfield Signals 1"
"11337","STRATHSIG2","Strathfield Signals 2"
"11338","LIV SIG 1","Liverpool Signals 1"
"11339","LIV SIG 2","Liverpool Signals 2"
"11340","LIV SIG 3","Liverpool Signals 3"
