"TGID","Alias","Description"
"10701","-","-"
"10702","D NATO 1","Transport Operations 1"
"10703","D NATO 2","Transport Operations 2"
"10704","D NATO 3","Transport Operations 3"
"10705","D NORTH1","Sydney North 1"
"10706","D NORTH2","Sydney North 2"
"10707","D NORTH3","Sydney North 3"
"10708","D NORTH4","Sydney North 4"
"10709","D SOUTH1","Sydney South 1"
"10710","D SOUTH2","Sydney South 2"
"10711","D SOUTH3","Sydney South 3"
"10712","D SOUTH4","Sydney South 4"
"10713","D WEST 1","Sydney West 1"
"10714","D WEST 2","Sydney West 2"
"10715","D WEST 3","Sydney West 3"
"10716","D WEST 4","Sydney West 4"
"10717","D B'FEL1","Bowenfels (West) 1"
"10718","D B'FEL2","Bowenfels (West) 2"
"10719","D B'FEL3","Bowenfels (West) 3"
"10720","D WYONG1","Wyong (North) 1"
"10721","D WYONG2","Wyong (North) 2"
"10722","D WYONG3","Wyong (North) 3"
"10723","D W'ONG1","Wollongong (South) 1"
"10724","D W'ONG2","Wollongong (South) 2"
"10725","D W'ONG3","Wollongong (South) 3"
"10726","D EVENT1","Events 1"
"10727","D EVENT2","Events 2"
"10728","D EVENT3","Events 3"
"10729","D SMART","Smart Motorway Operations (M4 Motorway)"
"10730","-","Regional Transport Operations"
"10731","-","Point to Point Transport Commissioner"
"10732","-","-"
