"TGID","Alias","Description"
"10501","-","Quiet/Calling Channel"
"10502","-","Statewide Channel"
"10503","-","Gore Hill Underground"
"10504","-","Gore Hill Overhead"
"10505","-","Hornsby Overhead"
"10506","-","Hornsby Underground"
"10507","-","North Substations"
"10508","-","North Protection"
"10509","-","North District Operators"
"10510","-","Gore Hill Street Lighting"
"10511","-","North Operator"
"10512","-","Utility 1"
"10513","-","North EMSO Data 1"
"10514","-","Dee Why Overhead 1"
"10515","-","Dee Why Overhead 2"
"10516","-","Dee Why Operator"
"10517","-","Dee Why Substations"
"10518","-","Projects and Contracts"
"10519","-","East Operator"
"10520","-","Utility 1"
"10521","-","Utility 2"
"10522","-","East Underground"
"10523","-","East Overhead"
"10524","-","East Substations"
"10525","-","Asset Access"
"10526","-","East District Operators"
"10527","-","East Protection"
"10528","-","CBD High Voltage Underground"
"10529","-","PINC Network Operations Controller"
"10530","-","SO Transponder 1"
"10531","-","SO Transponder 2"
"10532","-","Radio Commander"
"10533","-","-"
"10534","-","-"
"10535","-","South Operator"
"10536","-","Inner West Overhead"
"10537","-","Homebush Underground"
"10538","-","Silverwater Training Centre"
"10539","-","Bankstown Overhead"
"10540","-","Bankstown District Operators"
"10541","-","South District Operators"
"10542","-","Bankstown Operator"
"10543","-","-"
"10544","-","Oatley Overhead"
"10545","-","South EMSO Data 1"
"10546","-","-"
"10547","-","-"
"10548","-","Transmission 1"
"10549","-","Transmission 2"
"10550","-","-"
"10551","-","-"
"10552","-","-"
"10553","-","-"
"10554","-","-"
"10555","-","-"
"10556","-","North Operator"
"10557","-","South Operator"
"10558","-","East Operator"
"10559","-","Bankstown Operator"
"10560","-","Dee Why Operator"
"10561","-","Telecontrol-Facilities-Driver Training"
"10562","-","CIP-IMS Control-Duty Managers"
"10563","-","Incident Operations"
"10564","-","TCA Substations Metering"
"10565","-","TCA Network Test 1"
"10566","-","TCA Network Test 2"
"10567","-","TCA Network Test 3"
"10568","-","TCA Network Test 4"
"10569","-","TCA Network Test 5"
"10570","-","CASS Data 1"
"20501","-","Central Coast Operator"
"20502","-","Central Coast Installation Inspector"
"20503","-","Central Coast EMSOs"
"20504","-","Central Coast Substations"
"20505","-","Gosford Overhead"
"20506","-","Central Coast Underground"
"20507","-","Central Coast District Operators"
"20508","-","Noraville Overhead"
"20509","-","Central Coast Protection"
"20510","-","Noraville Overhead"
"20511","-","Central Coast EMSO Data 1"
"20512","-","Central Coast Operator"
"20513","-","Newcastle Operator"
"20514","-","Newcastle Despatch Data 1"
"20515","-","Wallsend Overhead 1"
"20516","-","Wallsend Underground"
"20517","-","Wallsend Substations"
"20518","-","Maitland 1"
"20519","-","Wallsend Overhead 2"
"20520","-","TCA Hunter"
"20521","-","Hunter Operator"
"20522","-","Muswellbrook 1"
"20523","-","Muswellbrook 2"
"20524","-","CASS Data 2"
"20525","-","Singleton"
"20526","-","Hunter District Operators"
"20527","-","Newcastle District Operators"
"20528","-","Hunter Projects"
