"TGID","Alias","Description"
"10601","D01 CNTRLE1","Control East 1"
"10602","D02 CNTRLE2","Control East 2"
"10603","D03 CNTRLW3","Control West 1"
"10604","D04 CNTRLW4","Control West 2"
"10605","D05 CNTRLS5","Control South 1"
"10606","D06 CNTRLS6","Control South 2"
"10607","D07 CNTRLN7","Control North 1"
"10608","D08 CNTRLN8","Control North 2"
"10609","D09 CNTRLC9","Control Coniston 1"
"10610","D10 CNTRLC10","Control Coniston 2"
"10611","D11 CNTRLC11","Control Coniston 3"
"10612","D12 CNTRLC12","Control Coniston 4"
"10613","D13 DESP 1","Despatch 1"
"10614","D14 DESP 2","Despatch 2"
"10615","D15 DESP 3","Despatch 3"
"10616","D16 TRANS 1","Transmission 1"
"10617","D17 TRANS 2","Transmission 2"
"10618","D18 TRANS 3","Transmission 3"
"10619","D19 CNTRLSP1","Control Special Projects 1"
"10620","D20 CNTRLSP2","Control Special Projects 2"
"10621","D21 KANDOS","Kandos"
"10622","D23 LITHGOW","Lithgow"
"10623","D24 KATOOMBA","Katoomba"
"10624","D25 PENRTH 1","Penrith 1"
"10625","D26 PENRTH 2","Penrith 2"
"10626","D27 WINDSOR","Windsor"
"10627","D28 KINGS P1","Kings Park 1"
"10628","D29 KINGS P2","Kings Park 2"
"10629","D30 PARRA 1","Parramatta 1"
"10630","D31 PARRA 2","Parramatta 2"
"10631","D32 HOXTON 1","Hoxton Park 1"
"10632","D33 HOXTON 2","Hoxton Park 2"
"10633","D34 NARELL 1","Narellan 1"
"10634","D35 NARELL 2","Narellan 2"
"10635","D36 M VALE 1","Moss Vale 1"
"10636","D37 M VALE 2","Moss Vale 2"
"10637","D38 PICTON","Picton"
"10638","D39 SPRNGW 1","Springwood 1"
"10639","D40 SPRNGW 2","Springwood 2"
"10640","D41 SHLHBR 1","Shellharbour 1"
"10641","D42 SHLHBR 2","Shellharbour 2"
"10642","D43 NOWRA 1","Nowra 1"
"10643","D44 NOWRA 2","Nowra 2"
"10644","D45 ULLAD","Ulladulla"
"10645","D46 COMMS 1","Communications 1"
"10646","D47 COMMS 2","Communications 2"
"10647","D48 SECUR 1","Secure 1"
"10648","D49 SECUR 2","Secure 2"
"10649","D51 SPARE","Spare"
"10650","D52 SPARE","Spare"
"10651","D53 SPARE","Spare"
"10652","D54 SPARE","Spare"
"10653","D55 SPARE","Spare"
