"TGID","Alias","Description"
"11511","-","NSW Mines Safety 01"
"11512","-","NSW Mines Safety 02"
"11513","-","NSW Mines Safety 03"
"11514","-","NSW Mines Safety 04"
"11515","-","NSW Mines Safety 05"
"11516","-","NSW Mines Safety 06"
"11517","-","NSW Mines Safety 07"
"11518","-","NSW Mines Safety 08"
"11519","-","NSW Mines Safety 09"
"11520","-","NSW Mines Safety 10"
"11521","-","NSW Mines Rescue 01"
"11522","-","NSW Mines Rescue 02"
"11523","-","NSW Mines Rescue 03"
"11524","-","NSW Mines Rescue 04"
"11525","-","NSW Mines Rescue 05"
"11526","-","NSW Mines Rescue 06"
"11527","-","NSW Mines Rescue 07"
"11528","-","NSW Mines Rescue 08"
"11529","-","NSW Mines Rescue 09"
"11530","-","NSW Mines Rescue 10"
