"TGID","Alias","Description"
"20450","-","-"
"20451","-","Liaison 1"
"20452","-","Liaison 2"
"20453","-","Liaison 3"
"20454","-","Liaison 4"
"20455","-","Tactical 1"
"20456","-","Tactical 2"
"20457","-","Tactical 3"
"20458","-","Park Air"
"20459","-","-"
"21031","-","Tactical 4"
"21032","-","-"
"21033","-","-"
"21034","-","-"
"21035","-","-"
"21036","-","-"
"21037","-","-"
"21038","-","-"
"21039","-","-"
"21040","-","-"
"21041","-","-"
"21042","-","-"
"21043","-","-"
"21044","-","-"
"21045","-","-"
"21046","-","-"
"21047","-","-"
"21048","-","-"
"21049","-","-"
"21050","-","-"
"21051","-","-"
"21052","-","-"
"21053","-","-"
"21054","-","-"
"21055","-","-"
"21056","-","-"
"21057","-","-"
"21058","-","-"
"21059","-","-"
"21060","-","-"
"21061","-","-"
"21062","-","-"
"21063","-","-"
"21064","-","-"
"21065","-","-"
"21066","-","-"
"21067","-","-"
"21068","-","-"
"21069","-","-"
