"TGID","Alias","Description"
"19901","-","-"
"19902","-","-"
"19903","-","-"
"19904","-","-"
"19905","-","-"
"19906","-","-"
"19907","-","-"
"19908","-","-"
"19909","-","-"
"19910","-","-"
"19911","-","-"
"19912","-","-"
"19913","-","Field Service"
"19914","-","Field Service"
"19931","-","-"
"19932","-","-"
"19933","-","NOCC Service"
"19940","-","-"
"19941","-","-"
"19942","-","-"
"19943","-","-"
"19944","-","-"
"19950","-","-"
"19951","-","-"
"19952","-","-"
"19954","-","-"
"19955","-","-"
"19957","-","-"
"19960","-","-"
"19970","-","-"
"19971","-","-"
"19972","-","-"
"19973","-","-"
"19974","-","-"
"19978","-","-"
"19979","-","-"
"19989","-","-"
"19999","-","-"
