"Category","Agency","Slug","Rows"
"Emergency","Fire & Rescue NSW","fire-rescue-nsw","114"
"Emergency","Marine Rescue NSW","marine-rescue-nsw","20"
"Emergency","NSW Ambulance","nsw-ambulance","154"
"Emergency","NSW Police Force","nsw-police-force","275"
"Emergency","NSW Rural Fire Service","nsw-rural-fire-service","206"
"Emergency","NSW State Emergency Service","nsw-state-emergency-service","103"
"Emergency","Surf Life Saving NSW","surf-life-saving-nsw","2"
"Emergency","VRA Rescue NSW","vra-rescue-nsw","10"
"Enforcement","Australian Federal Police","australian-federal-police","35"
"Enforcement","Corrective Services NSW","corrective-services-nsw","43"
"Enforcement","NSW Department of Primary Industries","nsw-department-of-primary-industries","34"
"Enforcement","NSW Environmental Protection Agency","nsw-environmental-protection-agency","10"
"Enforcement","Office of the Sheriff of NSW","office-of-the-sheriff-of-nsw","10"
"Enforcement","RSPCA NSW","rspca-nsw","4"
"Enforcement","Special Constables","special-constables","10"
"Enforcement","Youth Justice NSW","youth-justice-nsw","2"
"Transport","Australian Rail Track Corporation","australian-rail-track-corporation","20"
"Transport","Transport for NSW","transport-nsw","7"
"Transport","Transport for NSW - Ferries","transport-nsw-ferries","30"
"Transport","Transport for NSW - Maritime","transport-nsw-maritime","15"
"Transport","Transport for NSW - Rail","transport-nsw-rail","274"
"Transport","Transport for NSW - Roads","transport-nsw-roads","32"
"Utilities","Ausgrid","ausgrid","98"
"Utilities","Blue Mountains City Council","blue-mountains-city-council","2"
"Utilities","Central Tablelands Water","central-tablelands-water","10"
"Utilities","Endeavour Energy","endeavour-energy","53"
"Utilities","Forestry Corporation of NSW","forestry-corporation-of-nsw","89"
"Utilities","Hunter Water","hunter-water","6"
"Utilities","NSW Mining & Rescue","nsw-mining","20"
"Utilities","NSW National Parks & Wildlife Service","nsw-national-parks-wildlife-service","49"
"Utilities","NSW Telco Authority","nsw-telco-authority","38"
"Utilities","Property NSW","property-nsw","8"
"Utilities","Sutherland Shire Council","sutherland-shire-council","12"
"Utilities","Sydney Water","sydney-water","62"
"Utilities","Water NSW","water-nsw","10"
"Utilities","Western Sydney Parklands","western-sydney-parklands","2"
"Miscellaneous","ABC News","abc-news","5"
"Miscellaneous","ACT Government","act-government","52"
"Miscellaneous","Hatzolah Medical Sydney","hatzolah-medical-sydney","10"
"Miscellaneous","Newborn & Paediatric Emergency Transport Service (NETS)","newborn-emergency-transport-service","3"
"Miscellaneous","Rental Groups","rental","59"
"Miscellaneous","Shared Liaison Groups","shared-liaison","30"
"Miscellaneous","St John Ambulance NSW","st-john-ambulance-nsw","2"
"Miscellaneous","Sydney Opera House","sydney-opera-house","49"
"Miscellaneous","Unconfirmed Groups","unconfirmed","91"
