State,Category,VehicleType,Count
"","Services","ACT Fire and Rescue","61"
"","Services","ACT Rural Fire Service","67"
"","Services","ACT Ambulance Service","27"
"","Services","State Emergency Service (ACT)","26"
"","Services","Fire and Rescue NSW","1129"
"","Services","Rural Fire Service","482"
"","Services","Ambulance Service of NSW","22"
"","Services","VRA Rescue NSW","76"
"","Services","State Emergency Service (NSW)","81"
"","Services","Northern Territory Fire and Rescue Service","61"
"","Services","Northern Territory Emergency Service","1"
"","Services","St John Ambulance","2"
"","Services","Queensland Fire and Rescue","637"
"","Services","Rural Fire Service Queensland","867"
"","Services","Queensland Ambulance Service","20"
"","Services","State Emergency Service (QLD)","22"
"","Services","Metropolitan Fire Service","166"
"","Services","Country Fire Service","433"
"","Services","SA Ambulance Service","17"
"","Services","State Emergency Service (SA)","15"
"","Services","Tasmania Fire Service","291"
"","Services","Ambulance Tasmania","31"
"","Services","State Emergency Service (TAS)","72"
"","Services","Fire Rescue Victoria","323"
"","Services","Country Fire Authority","4064"
"","Services","Ambulance Victoria","219"
"","Services","State Emergency Service (VIC)","882"
"","Services","Forest Fire Management Victoria","1572"
"","Services","Department of Fire and Emergency Services","116"
"","Services","Fire Fighting Aircraft","543"
"","Services","Chicago Fire Department","3"
"","Services","Fire Department of New York (FDNY)","1"
"ACT","ACTFRS Vehicle Type","Heavy Pumper","21"
"ACT","ACTFRS Vehicle Type","Heavy Rescue Pumper","4"
"ACT","ACTFRS Vehicle Type","Aerial","4"
"ACT","ACTFRS Vehicle Type","CAFS Tanker","4"
"ACT","ACTFRS Vehicle Type","Tanker","5"
"ACT","ACTFRS Vehicle Type","Breathing Apparatus Support","3"
"ACT","ACTFRS Vehicle Type","HazMat Response","1"
"ACT","ACTFRS Vehicle Type","Pod Truck","2"
"ACT","ACTFRS Vehicle Type","Logistics","2"
"ACT","ACTFRS Vehicle Type","Support","3"
"ACT","ACTFRS Vehicle Type","Commander","6"
"ACT","ACTFRS Vehicle Type","Workshops","5"
"ACT","ACTFRS Vehicle Type","Community Fire Unit","1"
"NSW","FRNSW Vehicle Type","Tanker Class 1","205"
"NSW","FRNSW Vehicle Type","Pumper Class 2","314"
"NSW","FRNSW Vehicle Type","Pumper Class 3","350"
"NSW","FRNSW Vehicle Type","Aerial Pumper","25"
"NSW","FRNSW Vehicle Type","Turntable Ladder","6"
"NSW","FRNSW Vehicle Type","Aerial Ladder Platform","26"
"NSW","FRNSW Vehicle Type","Heavy HazMat","12"
"NSW","FRNSW Vehicle Type","HazMat Van","27"
"NSW","FRNSW Vehicle Type","HazMat Support","15"
"NSW","FRNSW Vehicle Type","CO2","2"
"NSW","FRNSW Vehicle Type","BA and HazMat","3"
"NSW","FRNSW Vehicle Type","Rehabilitation","13"
"NSW","FRNSW Vehicle Type","Heavy Rescue","19"
"NSW","FRNSW Vehicle Type","Rescue Van","1"
"NSW","FRNSW Vehicle Type","Salvage","3"
