id,address,alias,agency,icon,color,pluginconf,ignore
1,0010627,Lower Hunter - Gresford Brigade Captain,RFS,fire-alt,orange,{},0
2,0010634,Lower Hunter Group 2,RFS,fire-alt,orange,{},0
3,0010648,Lower Hunter - Fingal Bay Brigade,RFS,fire-alt,orange,{},0
4,0010650,Lower Hunter Deputy Group 1,RFS,fire-alt,orange,{},0
5,0010658,Lower Hunter Deputy Group 2,RFS,fire-alt,orange,{},0
6,0010664,Lower Hunter Comms Support Unit Captain,RFS,fire-alt,orange,{},0
7,0010672,Lower Hunter Comms Support Unit,RFS,fire-alt,orange,{},0
8,0010688,Lower Hunter - Soldiers Point Brigade Captain,RFS,fire-alt,orange,{},0
9,0010696,Lower Hunter - Soldiers Point Brigade,RFS,fire-alt,orange,{},0
10,0010704,Lower Hunter - Martins Creek Brigade Captain,RFS,fire-alt,orange,{},0
11,0010714,Lower Hunter Deputy Group 3,RFS,fire-alt,orange,{},0
12,0010720,Lower Hunter - Anna Bay Brigade,RFS,fire-alt,orange,{},0
13,0010722,Lower Hunter - Iona/Duns Creek Brigade,RFS,fire-alt,orange,{},0
14,0010728,Lower Hunter Broadcast Message,RFS,fire-alt,orange,{},0
15,0010730,Lower Hunter - Eccleston Brigade,RFS,fire-alt,orange,{},0
16,0010738,Lower Hunter Deputy Group 4,RFS,fire-alt,orange,{},0
17,0010744,Lower Hunter - Williamtown/Salt Ash Brigade,RFS,fire-alt,orange,{},0
18,0010760,Lower Hunter - Tanilba Bay Brigade Captain,RFS,fire-alt,orange,{},0
19,0010768,Lower Hunter - Tilligerry Brigade,RFS,fire-alt,orange,{},0
20,0010784,Lower Hunter - Lemon Tree Brigade Captain,RFS,fire-alt,orange,{},0
21,0010792,Lower Hunter - Lemon Tree Passage Brigade,RFS,fire-alt,orange,{},0
22,0010808,Lower Hunter - Medowie Brigade Captain,RFS,fire-alt,orange,{},0
23,0010816,Lower Hunter - Medowie Brigade,RFS,fire-alt,orange,{},0
24,0010832,Lower Hunter - Karuah Brigade Captain,RFS,fire-alt,orange,{},0
25,0010840,Lower Hunter - Karuah Brigade,RFS,fire-alt,orange,{},0
26,0010856,Lower Hunter - Raymond Terrace Brigade Captain,RFS,fire-alt,orange,{},0
27,0010864,Lower Hunter - Raymond Terrace Brigade,RFS,fire-alt,orange,{},0
28,0010880,Lower Hunter Quads,RFS,fire-alt,orange,{},0
29,0010904,Lower Hunter - Seaham Brigade Captain,RFS,fire-alt,orange,{},0
30,0010912,Lower Hunter - Seaham Brigade,RFS,fire-alt,orange,{},0
31,0010936,Lower Hunter - Duns Creek Brigade,RFS,fire-alt,orange,{},0
32,0010960,Lower Hunter - Bowthorne/Hinton Brigade,RFS,fire-alt,orange,{},0
33,0011000,Lower Hunter Group 2,RFS,fire-alt,orange,{},0
34,0011072,Lower Hunter - Clarencetown Brigade Captain,RFS,fire-alt,orange,{},0
35,0011088,Lower Hunter - Wallarobba Brigade Captain,RFS,fire-alt,orange,{},0
36,0011120,Lower Hunter Pager Techs,RFS,fire-alt,orange,{},0
37,0011136,Lower Hunter Deputy Group 4,RFS,fire-alt,orange,{},0
38,0011144,Lower Hunter - Clarence Town CFS,RFS,fire-alt,orange,{},0
39,0011152,Lower Hunter Group 4,RFS,fire-alt,orange,{},0
40,0011272,Lower Hunter - Martins Creek Brigade,RFS,fire-alt,orange,{},0
41,0011312,Lower Hunter Catering Support Unit,RFS,fire-alt,orange,{},0
42,0011392,Lower Hunter - Dungog Brigade,RFS,fire-alt,orange,{},0
43,0011400,Lower Hunter - Gresford Brigade,RFS,fire-alt,orange,{},0
44,0011408,Lower Hunter Group 3,RFS,fire-alt,orange,{},0
45,0011416,Lower Hunter - Paterson Brigade,RFS,fire-alt,orange,{},0
46,0011432,Lower Hunter - Vacy Brigade,RFS,fire-alt,orange,{},0
47,0011680,Lower Hunter - Wallarobba Brigade,RFS,fire-alt,orange,{},0
48,0011720,Lower Hunter - Flat Tops Brigade,RFS,fire-alt,orange,{},0
49,0011800,Lower Hunter Broadcast Message,RFS,fire-alt,orange,{},0
50,0029024,Macarthur - Oberon Brigade,RFS,fire-alt,orange,{},0
51,0029040,Macarthur - Turon Brigade,RFS,fire-alt,orange,{},0
52,0029064,Macarthur - Burraga Brigade,RFS,fire-alt,orange,{},0
53,0060008,Cumberland Broadcast Message,RFS,fire-alt,orange,{},0
54,0089016,Port Stephens SES - Duty Officer,SES,exclamation-triangle,yellow,{},0
55,0089024,Port Stephens SES,SES,medkit,orange,{},0
1112,0104811,48 Mortdale,FRNSW,fire-extinguisher,#FF0000,{},0
1122,0106611,66 Rhodes,FRNSW,fire-extinguisher,#FF0000,{},0
1123,0107211,72 Merrylands,FRNSW,fire-extinguisher,#FF0000,{},0
1124,0107811,78 Ropes Crossing,FRNSW,fire-extinguisher,#FF0000,{},0
1125,0107911,79 Ingleburn,FRNSW,fire-extinguisher,#FF0000,{},0
1126,0108011,80 Bundeena,FRNSW,fire-extinguisher,#FF0000,{},0
1127,0108111,81 Windsor,FRNSW,fire-extinguisher,#FF0000,{},0
1128,0108211,82 Richmond,FRNSW,fire-extinguisher,#FF0000,{},0
1129,0108311,83 Riverstone,FRNSW,fire-extinguisher,#FF0000,{},0
1130,0108811,88 Campbelltown,FRNSW,fire-extinguisher,#FF0000,{},0
1131,0109011,90 Menai,FRNSW,fire-extinguisher,#FF0000,{},0
1057,0120211,202 Abermain,FRNSW,fire-extinguisher,#FF0000,{},0
1058,0120711,207 Albion Park,FRNSW,fire-extinguisher,#FF0000,{},0
1059,0121011,210 Balgownie,FRNSW,fire-extinguisher,#FF0000,{},0
1060,0122011,220 Bellbird,FRNSW,fire-extinguisher,#FF0000,{},0
1061,0122211,222 Belmont,FRNSW,fire-extinguisher,#FF0000,{},0
1062,0122611,226 Blackheath,FRNSW,fire-extinguisher,#FF0000,{},0
1063,0123411,234 Bowral,FRNSW,fire-extinguisher,#FF0000,{},0
1064,0123711,237 Branxton,FRNSW,fire-extinguisher,#FF0000,{},0
1065,0124211,242 Bundanoon,FRNSW,fire-extinguisher,#FF0000,{},0
1066,0124511,245 Budgewoi,FRNSW,fire-extinguisher,#FF0000,{},0
1067,0124811,248 Camden,FRNSW,fire-extinguisher,#FF0000,{},0
1068,0125111,251 Cardiff,FRNSW,fire-extinguisher,#FF0000,{},0
1069,0125211,252 Carrington,FRNSW,fire-extinguisher,#FF0000,{},0
1070,0125411,254 Cessnock,FRNSW,fire-extinguisher,#FF0000,{},0
